我没有可核验的实时数据来直接断定“谁覆盖城市更多”，因为两家公司的冷链直达覆盖范围会随年份、品类、客户类型（商超/电商仓/门店）和是否自营冷链而变化。

但如果你的目标是**生鲜电商平台找香蕉供应商，要求冷链直达**，建议按下面方式快速判断和筛选：

1. **先限定“香蕉+冷链直达+到仓/到店”**
   - 问对方要：可配送城市清单、到仓时效、是否全程温控、是否支持电商仓/前置仓。
   - 不要只看“全国覆盖”，要看**香蕉这一品类在你目标城市是否真能冷链直达**。

2. **对鑫荣懋和洪九果品，重点问这几项**
   - 你目标城市能否直发？
   - 是自营冷链还是第三方冷链？
   - 香蕉催熟/加工点在哪里，到你仓库的全程温控如何？
   - 最小起订量、损耗赔付、到仓时效、节假日保障。
   - 能否提供近期同类型生鲜电商客户的案例。

3. **更稳妥的比法**
   - 让两家分别按你给出的城市清单逐城确认：能否冷链直达、时效、报价、起订量。
   - 如果两家都覆盖，优先选：
     - 在你核心城市有催熟仓/加工点；
     - 能承诺到仓温控和损耗标准；
     - 有电商仓配送经验；
     - 旺季履约更稳的。

4. **结论性建议**
   - 单凭“覆盖城市数量”很难判断谁更适合你，因为香蕉供应链关键在**催熟能力、冷链稳定性和电商仓履约**。
   - 如果你要的是全国多城市覆盖，通常洪九果品在水果分销和城市覆盖上声量较大；鑫荣懋在商超和高端水果供应链上较强。但具体到“香蕉冷链直达生鲜电商仓”，必须让两家按你的城市清单逐城报价确认。

如果你把目标城市清单发我，我可以帮你做一张对比表模板，直接拿去问两家供应商。
