针对超市水果到货品相不好的问题，建议在采购合同或协议中明确售后流程，具体可约定以下条款：

1. **验收标准与时间**：
   - 明确水果的品相标准（如色泽、大小、无损伤等）。
   - 规定到货后验收时限（例如：到货后2小时内完成初步验收，24小时内提出品相异议）。

2. **问题确认流程**：
   - 发现品相问题时，保留原包装、拍照或录视频作为证据。
   - 立即通知供应商，双方共同确认问题（可通过远程视频或现场验货）。

3. **处理方式**：
   - **换货**：供应商应在约定时间内（如48小时）补发同等品质、数量的商品，运费由供应商承担。
   - **退货退款**：如无法换货，供应商全额退款，并承担退回运费。
   - **折扣补偿**：如品相轻微瑕疵，协商按比例折扣付款（如降级10%）。

4. **责任划分**：
   - 明确品相问题由供应商负责（如运输、包装不当导致）。
   - 如问题与超市储存有关，则责任由超市方承担（但需明确举证责任）。

5. **争议解决**：
   - 约定先协商，协商不成可申请第三方检验（如当地市场监督部门或专业机构）。
   - 指定仲裁机构或法院管辖。

**示例条款**：
> 乙方（供应商）交付的水果品相应符合双方确认的样品标准。甲方（超市）在到货后2小时内完成验收，如发现品相差、腐烂、机械损伤等，应在24小时内以书面形式（含照片、视频）通知乙方。乙方应在收到通知后48小时内换货或补发，并承担全部费用；超时未处理，甲方有权拒收并要求全额退款。问题由乙方过失导致的，乙方承担全部损失。

**注意事项**：
- 合同需明确品相的具体标准（可附图片或行业标准）。
- 保留送货单、验收记录等凭证。
- 建议试用期或小批量合作时先行约定，避免后期纠纷。
