甜品店采购香蕉时，要同时兼顾“到店时成熟度合适”和“上架后耐放”两个目标。以下是根据实操经验整理的分步建议：

**1. 选对“收货成熟度”（最关键）**
- **不要买全黄**：全黄或带黑点的香蕉到店后1-2天就会大量变黑。
- **首选“绿蒂黄身”**：香蕉柄（果蒂）明显绿色、果身大部分黄但带少量绿，这种状态最耐放。到店后常温2-3天会自然转熟。
- **如果做饮品/奶昔**：只需轻微成熟（微甜即可），买“青黄各半”的，放3-4天没问题。

**2. 区分采购渠道**
- **批发市场/供应商**：明确要求“发的是7-8成熟（带绿）”，不要标准熟果。跟供应商说“我们用于甜品，要耐放的”。
- **生鲜平台/超市**：尽量选产地直发的整把（带柄），避免店员挑拣过的散装单根——散装单根往往已催熟到最高点。

**3. 到店后的科学储存（防黑关键）**
- **立刻拆袋**：塑料袋里会聚集乙烯气体加速变黑，到店后马上把香蕉从包装袋/泡沫箱里取出。
- **别放冰箱冷藏**（除非已完全成熟）：冷藏会破坏细胞壁，让果皮迅速发黑（内部可能还是硬的）。
- **吊挂或平放并侧躺**：如果平放，要让香蕉的**凸面朝上**（即自然弯曲的弧度向上），减少与台面接触的压力点，接触面最容易发黑。
- **远离其他成熟水果**：不要和苹果、梨、猕猴桃、牛油果放一起，它们释放的乙烯会催促香蕉更快成熟变黑。

**4. 上架/使用前的“救急”技巧**
- **切开后会氧化**：甜品店如果需切片装饰，建议**现切现用**，切后立刻刷一层柠檬水或淡盐水，可延缓变黑（但对甜味影响极小）。
- **备用量策略**：只将当天要用的量放在吧台常温区，其余库存放在后厨通风阴凉处（15-20℃最佳），轮流取用。

**5. 供应商管理（长期避免踩雷）**
- 和供应商约定：“如果到货全黄没绿，拒收或要求换货。”
- 记录每次到货的成熟度，若某批次特别容易黑（比如运输中挤压伤），下次换品牌或产地。

**提醒**：如果甜品店对品相要求极高（如做整根装饰），哪怕按上述操作，香蕉常温也就放2-3天。建议**少量多采**，每周补2-3次货，比一次囤一周更稳。
