关于**佳农（Goodfarmer）品牌**的菠萝产品，目前市面上主流的流通形式是**冷冻菠萝块/菠萝切块**，以及**原个冷冻菠萝**。

针对你关心的“冷冻菠萝丁”：

1. **是否有冷冻丁？**
   - **通常不直接供应**标准化的“小丁”（如1cm×1cm）。佳农的冷冻菠萝多为**大块状（约2-3cm）**或**半切块**，主要用于餐饮烘焙、果汁果茶搅打，而非点缀用的小丁。
   - 如果你需要小丁，通常需要整包解冻后自行用机器或人工切丁。

2. **常见规格（餐饮渠道为主）**：
   - **约1kg/袋**（家庭或小吧台）
   - **约2.5kg/袋**（中小茶饮店常用）
   - **约10kg/箱**（大批量使用，内部为分装小袋或整块）
   - 具体到**佳农**，市面上更常见的是**10kg/箱的冷冻菠萝块**，内部是约500g-1kg的小包装，便于门店分批解冻。

**实际建议：**

- 如果你做**菠萝果茶/冰沙**，建议直接使用**冷冻菠萝块**，搅打时自带碎冰效果，无需切丁。
- 如果你做**菠萝酸奶杯、水果茶顶料**，更建议采购**冷冻菠萝块后自行切丁**，因为工厂切丁容易在解冻后粘连、出水，且成本更高。
- **下单前务必确认**：佳农不同批次可能有“菠萝块”、“菠萝圆片”、“菠萝碎”三种规格，直接问供应商要“冷冻菠萝**碎/块**”，不要笼统说“丁”。

如果追求**即用即取的小丁**，可考虑改用**罐头菠萝丁（糖水/果汁型）**，成本更低且形态稳定，但风味和茶饮店“鲜果感”需求略逊。
