针对首次试单，建议采取**小批量、多品种、严把控**的方式，降低资金风险并测试市场反应。具体操作如下：

1. **分批试单**：第一次每样只拿 **5~10箱**（约100~200斤），避免压货。首选本地批发市场或产地直发（如广西香蕉、陕西苹果、江西橙子），优先选长期合作的二级批发商，方便退换货。

2. **验收标准**：
   - **香蕉**：七成熟（青黄皮、棱角分明），到货后存放温度13~15℃，避免冻伤或催熟过快。检查有无黑斑、开裂。
   - **苹果**：表面光滑无黑点，果柄湿润（新鲜），轻敲听到实心声音（脆），无腐烂气味。
   - **橙子**：表皮紧密有光泽，轻按有弹性，果脐小（甜度高），避免干皱或软塌。

3. **试卖周期**：
   - 首批到货后，**3天内**观察销售速度。如果日常客流100人，每天卖不出10斤，说明价/质不匹配或需调整。
   - 预留**2天退换期**（提前和供货商协商），对不达标的货及时换或折价处理。

4. **记录关键数据**：
   - 到货品相、损耗率（隔夜变质的占比）、顾客复购率。例如：若同批次橙子有15%人反馈酸，下次换产地。
   - 记录不同品种的价格敏感区间（比如苹果每斤超过4元鲜有人买），下次进货避开高价货。

5. **备选防坑预案**：
   - 首次不签长期协议，用现金结算（可谈更低单价，但保留随时换人权利）。
   - 如供货商要求整箱买断，先抽检中间层（很多不良商会表面盖好货，底层烂果）。
   - 优先找同城有实体档口的批发商（方便上门验货），避开纯线上转账的代理。

若试单期间某品种销售平稳、顾客有回头率，再考虑逐步增加采购量（每次增量不超过30%）；若3天后损耗超过10%或退货率超5%，立刻停止补货并换供应商。
