这个问题没有固定答案——**到货快慢主要取决于你的所在地、品类、起订量和对接的是哪一级经销/批发商，而不是品牌本身。**

不过可以给你几个可判断的维度：

1. **两者定位不同**
   - **鑫荣懋**：偏全国性大型水果供应链，进口果（如车厘子、奇异果、蓝莓）和商超渠道强，通常有多个区域仓配中心。
   - **洪九果品**：以东南亚水果（榴莲、火龙果、龙眼等）和全国分销网络见长，在部分品类上有产地直采优势。

2. **到货快慢看这几点**
   - **你所在城市是否有他们的区域仓/分仓**：有仓的城市通常1-2天，没仓要跨区调货，3-5天甚至更久。
   - **你拿的品类是否是他们的主力仓储备货**：主力品到货快，冷门品要等调拨。
   - **你对接的是总部、区域代理还是二批**：经过的环节越多，越慢。
   - **起订量**：量小可能拼车、等车，自然会慢。

3. **实操建议**
   - 直接问对接的销售：**“这个品在你所在区域仓有没有现货？多久能到？”** 这比问品牌整体快慢有用得多。
   - 同一批货，可以让两边各报一次**具体到货时间**，谁快一目了然。
   - 如果你在华南（尤其广州、深圳），洪九在东南亚果上通常有优势；如果做进口高端果或商超供货，鑫荣懋的仓配可能更稳。

**结论：没有“谁一定更快”，要按城市+品类+对接层级去问具体到货时效。** 如果你告诉我你在哪个城市、拿什么货、大概什么量，我可以帮你分析哪家更可能快。
