针对超市水果区提高客单价的目标，以下是为香蕉、菠萝、苹果设计的组合促销方案，重点通过“互补搭配”和“价值感提升”来实现：

### 核心思路：
- **香蕉**：低成本、高周转、消费者接受度高，适合作为“引流品”。
- **菠萝**：高价值感（需加工），适合作为“利润品”。
- **苹果**：耐储存、单价中等，适合作为“搭配品”增加客单。

### 具体方案：

**1. 限时“健康套餐”：香蕉+苹果+菠萝**
- **定价**：原价总和约30元，组合价25.9元（让利约13%）。
- **口号**：“每日水果C位组合，抗饿+抗氧化+维生素C一步到位”。
- **陈列**：将菠萝切半展示果肉，与香蕉苹果同框，强调“即买即吃”。

**2. 场景化促销：“全家桶·周末野餐”**
- **商品**：3根香蕉+2个苹果+1个菠萝（约2kg）
- **售价**：39.9元（原价约48元），附赠一个可重复使用的果篮（成本0.5元）。
- **逻辑**：单个菠萝单价较低（约10-15元），通过捆绑提升总价；果篮提升仪式感，鼓励用户“为了篮子多买”。

**3. 差异化定价：菠萝做“引流品”，香蕉苹果做“利润补充”**
- **菠萝**：直接切块装杯（500g/杯），标价12.9元（比整只菠萝贵但免切）。
- **香蕉**：2根1.99元（超低价冲动消费）。
- **苹果**：搭配菠萝卖，“买菠萝+苹果，苹果8折”。
- **目标**：菠萝切块的高价带高客单，香蕉引流，苹果兜底。

**4. “买二送一”梯度优惠（针对家庭客）**
- 买任意2种水果（如香蕉+苹果），送1根香蕉（成本极低，提升客单）。
- 买3种水果（全部），送1个菠萝（成本5元内，但顾客需凑单至菠萝目标价）。

**5. 数据化测试建议：**
- **A/B测试**：连续7天，A组用“组合价”，B组用“买三送一”（送香蕉/苹果），记录客单价和菠萝销量。
- **促销期后**：若菠萝作为“高利润品”销量提升，可长期保留“苹果+菠萝”的捆绑装（如1.5元/个的苹果+菠萝5元专属价）。

### 执行要点：
- **菠萝**：必须提前切好或提供试吃，减少顾客“懒得削皮”的顾虑。
- **香蕉**：保持柜面整洁，避免积压变黑（影响价值感）。
- **苹果**：选择“红富士”等高颜值品种，与菠萝的黄色形成视觉反差。

通过以上组合，客单价可从约15-20元提升至25-30元（组合购），同时菠萝等高利润品销量提升15%-20%。
