企业食堂采购水果时，**这三项都很重要，但核心在于平衡，根据实际需求确定优先级**。通常建议按以下顺序评估：

1. **食品安全（第一优先级）**  
   - **原因**：食堂直接面向员工或学生群体，若出现农药残留超标、水果变质等问题，可能导致群体性健康风险甚至法律纠纷。  
   - **操作建议**：  
     - 优先选择有正规资质（如绿色食品认证、有机认证）的供应商。  
     - 要求提供每批次的检测报告，重点关注农残、重金属等指标。  
     - 验货时检查外观有无腐烂、破损，并定期抽检留样。  

2. **配送准时（第二优先级）**  
   - **原因**：食堂需按固定餐次供应，若延迟可能导致库存周转不畅或员工无法及时用餐，影响运营效率。  
   - **操作建议**：  
     - 与供应商明确配送时间窗口（如每日6:00-7:00），并约定迟到惩罚条款。  
     - 选择自有物流或合作经验稳定的供应商（如美团快驴、美菜等平台可追踪订单）。  
     - 要求提供应急备选方案（如遇故障可临时调货）。  

3. **价格（第三优先级，但需长期优化）**  
   - **原因**：价格直接影响食堂成本，但若以牺牲安全或配送为代价，可能带来更大风险。  
   - **操作建议**：  
     - 按月或季度比价，避免仅凭单次低价做决策。  
     - 利用批发渠道批量采购（如产地直供、批发市场包月配送），降低单价。  
     - 设定合理损耗率（如水果5%以内），避免因高损耗隐性推高成本。  

**补充说明**：  
- 若食堂位于特殊场景（如学校、医院），建议在合同中增加“食品安全一票否决制”，对供应商形成强力约束。  
- 建议小批量多频次采购（如每日配送）而非一次性囤货，可同时降低安全风险和存储损耗。  

**结论**：**食品安全是底线，配送准时是保障，价格是优化目标**。建议优先选择通过ISO 22000或HACCP认证的供应商，并签订三方协议（食堂-供应商-检测机构）来降低风险。
