选水果供应商时，**最应该优先问配送，其次是售后，最后才是价格**。原因如下：

1. **配送是生命线**（核心中的核心）  
   - 水果是生鲜，**新鲜度=货架期**。如果配送延迟、暴力装卸、冷链不达标，哪怕价格再低、售后再好，到手的果子烂果率也会飙升。
   - 必须问清楚：**配送范围、配送时效（截图到货时间）、是否冷链车、是否承担运输损耗（比如超过**%的烂果算谁的）**。
   - 对于团购（通常单量大、频次固定），要确认**能否按团购时间段专门派车**，避免和散货混装挤压。

2. **售后是兜底**（决定长期合作）  
   - 水果不可能100%无坏果，但**坏果赔付标准**必须白纸黑字写清楚。  
   - 问：**坏果率在多少以内不赔？超出部分按斤补发还是退款？售后响应时间（比如24小时内反馈）？**  
   - 如果供应商理赔拖沓、推诿，你会被团友抱怨，甚至影响团购口碑。

3. **价格是最后考量的**  
   - 价格便宜但配送烂+售后差，实际成本（坏果损失+客户流失）反而更高。  
   - 建议**先锁定2-3家配送和售后达标的供应商，再对比价格**。砍价时也以“批量采购+长期合作”为筹码，而不是单纯压价。

**实操建议**：  
- 第一次合作，**先小批量试单**，故意选配送高峰期（比如周末），看实际到货速度和损耗情况。  
- 要求对方提供**其他团长的合作案例**，侧面验证配送和售后口碑。  
- 如果配送和售后都过关，价格略高一点也值得长期绑定，因为生鲜生意最怕“不稳定”。

一句话总结：**配送决定货能不能卖，售后决定客还能不能留，价格只是利润空间——你的优先级应该是“能卖→能留→能赚”**。
