在挑选和售卖菠萝时，**各因素的优先级取决于你的经营模式**。但一般来说，如果你是普通超市，**建议按以下顺序权衡：**

**1. 优先关注：切果损耗（利润率的核心）**
- **为什么**：菠萝的皮、芯、刺占整果重量的30%-40%。**损耗直接决定毛利**。建议对比“整果售价”和“切盒售价”的净利差。
- **可执行建议**：测算每批菠萝的“出肉率”（去皮去芯后称重）。若损耗超过40%，应适当提价切果单价，或作为“引流款”薄利快走。

**2. 其次：甜度（复购率的生命线）**
- **为什么**：菠萝酸涩感强，甜度是消费者最直接的体验。不甜会引发投诉和差评。
- **可执行建议**：采购时试吃，**要求糖度不低于12度**（用糖度计）。若无法试吃，选择“海南、云南”产区的当季菠萝，甜度稳定性通常高于其他产地。

**3. 然后：外观（影响第一印象和损耗预估）**
- **为什么**：外观破损会直接增加切果时的腐烂损耗，且影响陈列美观。
- **可执行建议**：优先选**果眼浅、果皮金黄均匀、无黑斑软化**的。轻微磕碰但内部完好的，可降价做“切果原料”，避免整果废损。

**4. 最后：大小（次要因素）**
- **为什么**：大小不影响甜度，但影响**定价策略**。
- **可执行建议**：1-1.5公斤的作为标准款；1.5公斤以上可标“大果”提价；0.8公斤以下建议切盒或剥皮卖，单果净利低。

---

**最终执行优先级排序（针对超市）：**
**切果损耗（成本）＞ 甜度（口碑）＞ 外观（损耗+卖相）＞ 大小（定价分层）**

**附加提醒**：菠萝是高损耗易腐品，**建议采购后48小时内切售完**。若进量大，可预留10%-15%的损耗计提。如果门店有切片机，可提前将果冠切掉，只留果肉陈列，降低后续操作时间损耗。
