在旺季与供应商合作时，为了降低断货风险并保障稳定供应，建议在谈判中提前明确以下几类关键问题：

### 一、供应能力与稳定性
1. **最大供应量**  
   - “贵司每天/每周能稳定提供多少箱（或吨）的XX水果？旺季能否达到我们高峰期销量的1.2~1.5倍预留量？”
2. **供应链瓶颈**  
   - “可能影响供应的因素有哪些（如天气、采摘人力、运输环节）？是否备有备用产地/供应商？”
3. **旺季产能分配**  
   - “如果多家客户同时下单，贵司如何分配供应量？是否优先保障长期合作客户的订单？”

### 二、品质与品控标准
4. **验收标准**  
   - “发货时的成熟度、单果重量、外观瑕疵（如碰伤、霉斑）具体标准是什么？能否提供书面规格说明？”
5. **到货损耗处理**  
   - “运输中自然损耗（如水分流失、轻微压坏）的比例上限是多少？超出部分如何赔偿（补货、退款还是扣款）？”
6. **旺季品控保障**  
   - “旺季时是否会因出货量大降低人工筛选标准？有哪些额外的质检流程？”

### 三、价格与账期
7. **价格波动机制**  
   - “价格是按签约价锁定，还是随市场行情浮动？一周内涨幅超过10%时的调价规则是什么？”
8. **旺季附加费用**  
   - “旺季是否收取临时加价（如采摘费、加急物流费）？如果有，是否提前3天通知？”
9. **账期与付款方式**  
   - “旺季期间账期是否缩短（如从30天改为15天）？是否需要预付订金（如订单的20%作为保证金）？”

### 四、物流与交货时效
10. **发货时效**  
    - “下单后平均多少小时能发货？（例如：当天18点前的订单次日发，还是什么时间节点发货？）需要提供配送延迟的补偿条款。”
11. **运输方式**  
    - “使用冷链车还是普通货车？是否纯电车（担心续航影响时效）？到店后如何卸货（可由我们自行安排工人？）”
12. **紧急补货通道**  
    - “如果突发断货，能否新增急单专车运送？额外费用和时效如何？”

### 五、合同与违约条款
13. **断货责任**  
    - “若贵司因自身原因（如量不足、物流延误）导致断货超48小时，合同明确赔偿方案：按缺货数量货值的XX%或每日补偿。”
14. **不可抗力条款**  
    - “遇到极端天气、封路等情况导致断供，是否免责？是否有应急供应计划（如联系同产区其他供应商）？”
15. **独家合作限制**  
    - “是否要求我们旺季时只能从贵司采购（独供协议）？如果是，对应的优先供应承诺是什么？”

### 六、信息同步与应急计划
16. **库存预警**  
    - “贵司是否每天主动同步我们库存可用量？例如早上10点前通过微信或系统告知当天可发数量。”
17. **替代方案**  
    - “如果主供品种缺货，是否可换用同品质的替代品种（如不同产地的同种水果）？是否需要增加价格补差？”
18. **长期合作优惠**  
    - “如果签订旺季全程直供合同（如6~8月），是否可以争取前置铺货（先到货后结算）或优先配送权？”

### 建议谈判策略
- **分阶段试水**：先谈一个月短期合作，观察其旺季履约能力，再签长期合同。
- **预留机动供应商**：至少保留1~2家备选供应商，避免依赖单渠道。
- **明确沟通渠道**：指定双方对接人，建微信群或系统导出每日库存数据，减少信息滞后。

提前用表格记录这些问题项的答案，并作为合同附件（尤其赔偿条款），能降低旺季因供需紧张引发的摩擦。
