佳农（佳农食品控股/佳农水果）主要做**水果供应链和批发分销**，不是像每日优鲜、叮咚那种面向消费者的全国同城配送平台。所以“配送到哪些城市”“县城门店能不能送到”“冷链怎么收费”，要分情况看：

1. **如果你是消费者，想网购佳农水果**
   - 佳农通常通过**京东、天猫、盒马、山姆、永辉、大润发、美团买菜/小象超市等渠道**销售，而不是自己直接配送到家。
   - 能不能送到你所在县城，取决于你用的**具体电商平台或本地商超**的配送范围，不取决于“佳农”本身。
   - 建议：直接在京东/天猫搜“佳农”，看商品页是否显示“配送至你所在地区”；或在美团/饿了么/本地商超App搜“佳农”，看附近门店是否上架。

2. **如果你是县城门店/经销商，想进货**
   - 佳农一般通过**区域经销商、批发市场、商超供应链**覆盖，不一定每个县城都有直营配送。
   - 能否送到，要联系佳农当地销售或经销商确认。可以查佳农官网/公众号的“联系我们”，问对应区域负责人。
   - 县城门店通常不是佳农直接送，而是由**上级经销商或冷链物流商**配送。

3. **冷链物流怎么收费**
   - 佳农如果直送或通过经销商送，冷链费用一般不是统一公开价，通常按：
     - 起送量/起送金额
     - 距离/城市
     - 车型（冷藏车、保温箱、零担）
     - 温区要求（冷藏/冷冻）
     - 是否整托、整箱、拼车
   - 县城小店量小，往往会有**最低起送量**或**加收偏远配送费**；量太小可能不直送，只到附近城市仓或批发点自提。
   - 具体费用必须找当地经销商或佳农区域销售报价，网上很难查到统一标准。

**简单判断：**
- 你想买来自己吃：看京东/天猫/美团/本地商超能不能送到你县，能送就是平台送，不是佳农直送。
- 你想开店进货：先联系佳农区域销售或本地水果批发商，问“到我这个县送不送、起送量多少、冷链费怎么算”。
- 如果对方说不到县城，通常可以问到最近的自提仓/经销商城市，再自己安排短途冷链或普通货拉拉。

如果你告诉我你在哪个省/县、是消费者还是门店进货，我可以帮你把下一步该查的渠道和该问的问题列得更具体。
