在茶饮店遇到水果到货不合格时，补货的核心原则是：**“先止损、再补货、盯流程”**。建议你按以下步骤操作，既能保住营业，又能减少损失：

### 第一步：当场拒收与留证（影响后续责任）
1. **立即拍照/录像**：把不合格的水果（发霉、压烂、不新鲜）连同外包装箱、送货单拍下来，最好能拍到送货司机在场。
2. **当场拒收异议**：如果只是部分不合格（比如整箱中有40%坏果），**不要直接收下**，要求供应商按“整箱拒收”或“按个数扣除”处理，并让送货员在送货单上签字确认“实际合格数”。
3. **紧急启用“安全库存协议”**：如果店铺有备用供应商，当场通知备用供应商加急送一批“保底果”（哪怕价格贵10%，也比断货强）。

### 第二步：补货约定（合同/订单备注条款）
在跟供应商沟通补货时，必须**用文字明确**以下内容（微信记录或邮件都算证据）：
- **补货时效**：写明“因到货不合格，贵司须在【几小时】内（例如：上午10点前）补送同规格合格品，若超时，我方有权另行采购，差价及损失由贵司承担。”
- **补货规格**：写明“补货需为同一SKU（例如：香水柠檬中果，单果≥120g），不得以次充好，否则按拒收处理。”
- **运费承担**：明确“此次补货运费、包装费由贵司承担”（通常因供应商过错导致的补货，运费必须对方出）。
- **自动扣款权**：在采购合同中提前约定“若发生一次到货不合格，我方有权从货款中扣除因补货产生的溢价差额”。

### 第三步：店内应急方案（不影响营业）
在补货运到前的空窗期（比如半天），采取“替换式菜单”：
- **做限时特调**：用现成的冷冻果泥或预制果酱做2-3款当日特调，并在外卖平台挂“今日推荐”，告知顾客“新鲜水果已到店/正在催补中”。
- **主动清库**：把店内现有合格水果优先做成果茶，引导顾客点“招牌款”，减少对单一水果的依赖。
- **亮明态度**：如果断货超过半天，在外卖平台设置“休息中”并备注“因水果到货品质问题，已紧急补货，将于X点恢复”，避免差评。

### 第四步：事后追责与长期协议（防再犯）
- **扣款凭证**：如果补货后仍影响营业（例如下午没卖出），保留当天的营收流水，要求供应商承担部分当日损失（一般供应商会承担补货运费，但不会承担利润损失，需提前在合同中约定违约金，比如“一次不合格扣200元”）。
- **供应商评估表**：用Excel建立《到货合格率记录》，如果同一供应商一月内出现≥2次不合格，暂停合作，启用第二备用供应商。
- **建议采购策略**：与供应商约定“**不过夜鲜果**”（即当天到货当天用，剩余不补），改为“一周两次小批量高频次送货”，降低单次大批量失误的风险。

### 特别提醒：
- 如果供应商不认账，**保留所有聊天记录**，直接联系采购平台客服或法律途径（但奶茶店通常金额小，不建议打官司，用“换供应商”作为终结手段即可）。
- 千万不要直接“先收货再说”，一旦签收，不合格责任就变成你自担了。

**结论**：补货约定最关键的是“时效+运费+换货权”三个字眼。你只需在每次补货时用微信发一句话给供应商：“本次补货需X点前送到，运费你们承担，否则我店里自行采购，差价从货款扣。” 这样既不影响营业，又锁死了责任。
