选择苹果、橙子和菠萝做水果拼盘时，要划算应从**单价、出果率、处理难度和保存成本**综合判断，具体建议如下：

1. **苹果**：选**中等大小、品相稍差**的（如果表面有小疤痕但不烂）。  
   - 大果单价通常更高，且切拼盘时苹果用量固定，小果出片更多，浪费少。  
   - 避免选极小的，削皮去核后损耗率会升高。  
   - 散称比盒装便宜，注意轻拿轻放避免碰伤。

2. **橙子**：选**果形圆润、中等重量**（手感沉甸甸的汁多）。  
   - 果皮厚的品种（如脐橙）更易剥，且表皮厚不会影响果肉重量。  
   - 购买整箱（如20斤装）比散称便宜，但需确认箱内果大小均匀，避免底部有烂果。  
   - 切瓣或切片时，小果切出的片数少、片小，不如中果划算。

3. **菠萝**：**直接买整颗未切**的，且选**果眼浅、手感硬挺**的。  
   - 切好的菠萝（盒装）会加价30%-50%，且可能用次果。整颗菠萝出肉率约50%-60%，更适合自己削。  
   - 到市场快关门时买（下午4点后），摊主常低价处理剩余菠萝。  
   - 避免过重或过轻的：太重可能纤维多且酸，太轻水分少。选顶部叶子翠绿、有清香味的。

**最终决策**：  
- 苹果和橙子：找**二级果批发商**，买同规格中最小尺寸的（但必须能切出均匀小块）。  
- 菠萝：买**产地直发、带皮整颗**（如海南、台湾品种），或选择冷冻菠萝丁（如做果盘不立刻用，冷冻款损耗极低且价格稳定）。  

**计算真实成本**：用公式“实际成本=单价÷出肉率”对比。  
例：苹果单价5元/斤，出肉率85%，则实际成本≈5.88元/斤；菠萝单价3元/斤，出肉率55%，实际成本≈5.45元/斤——菠萝反而比苹果划算。
