小商家采购水果时，现金结算和月结账期各有以下风险：

### 现金结算风险
1. **资金压力大**：需立即支付全款，可能占用流动资金，影响其他进货或应急支出。
2. **售后保障弱**：一旦水果出现质量问题（如腐烂、缺斤少两），追讨退款或换货较为困难，因已钱货两清。
3. **发票管理难**：部分现金交易可能无正规发票，影响税务合规记录或后续核算。
4. **单价可能偏高**：供应商有时对现金结算定价略高，以弥补回款快但利润低的心理。

### 月结账期风险
1. **账期违约风险**：供应商可能突然要求缩短账期、涨价或停止供货，尤其在市场波动时；若自身回款慢，可能面临被催债。
2. **资金链紧张**：需在月末集中支付大额款项，若销售情况不佳或客户回款延迟，容易导致现金流断裂。
3. **信用成本**：可能需承担隐形利息（如供应商因账期抬高单价），或需提交押金、担保等条件。
4. **对账繁琐**：需仔细记录每笔采购单据，月底核对数量、金额，易出现错账或纠纷。

### 综合建议
- 对于小商家，初期或旺季时，**现金结算**更利于控制成本和避免债务；但需留足备用金，并尽量索取凭证。
- 若长期稳定且水果损耗率低，可尝试**短期月结（如15天）**，但需与供应商签订明确协议，约定质量标准、退换货条款及逾期违约责任。
- 可采取混合模式：小额、高频采购用现金，大宗、信誉好的供应商用月结，分散风险。
