要避免香蕉到店后很快变黑，核心不是“买回来再救”，而是**采购时选对成熟度、运输和到店后控温控湿**。可以按下面做：

1. **采购别选太熟的**
   - 优先选：**青黄相接、果柄青绿、表皮无黑点**的香蕉。
   - 少选：**通体金黄、带梅花点、果柄发黑**的，这种到店后很快继续变黑。
   - 如果甜品店当天/次日就要大量用，可以少量买熟蕉，但不要作为主库存。

2. **按使用时间倒推成熟度**
   - 当天用：可买**黄熟但无黑点**。
   - 2–3天用：买**青黄交接、稍硬**。
   - 3–5天用：买**偏青、未完全转黄**，到店后自然催熟。
   - 不要一次全买同一成熟度，分批采购更稳。

3. **运输和搬运要防压、防闷**
   - 香蕉怕压、怕摔、怕闷热。
   - 纸箱运输时不要堆太高，避免底层压伤。
   - 夏天不要放在密闭车厢里暴晒；冬天避免冷风吹和冻伤。
   - 到店后尽快开箱散热，不要一直闷在箱里。

4. **到店后不要放冰箱冷藏**
   - 未熟或半熟香蕉放冰箱容易**冻伤变黑**，表皮会很快发暗。
   - 室温阴凉、通风处存放更合适。
   - 如果已经熟透且马上要用，可以短期冷藏果肉，但表皮仍会变黑，不影响内部使用。

5. **减少乙烯积聚和机械损伤**
   - 香蕉自身会释放乙烯，越熟释放越快。
   - 不要和苹果、梨、番茄等催熟型水果混放。
   - 可用**保鲜膜包住果柄**，减少乙烯从果柄释放。
   - 分开悬挂或单层摆放，不要挤压。
   - 有黑点、破皮的先挑出来先用，避免传染整串。

6. **控制存放环境**
   - 理想是**阴凉、通风、13–15℃左右**。
   - 湿度不要太高，表面不能长期有水珠。
   - 夏天重点防高温闷热，冬天重点防冷害。
   - 如果店里有空调房，别对着出风口直吹。

7. **采购和库存管理**
   - 少量多次采购，不要一次囤太多。
   - 先进先出，先熟先用。
   - 每天检查，把开始转熟的香蕉优先做香蕉泥、奶昔、烘焙等，不一定要等表皮完美。
   - 和供应商约定到货成熟度，比如“青黄交接、无黑点、果柄青绿”。

8. **已经有点熟了的处理**
   - 表皮刚出现少量黑点：优先使用，做香蕉泥、蛋糕、奶昔。
   - 果肉还正常但表皮发黑：剥皮后尽快用，或短时冷藏果肉。
   - 果肉发软发酸、有酒味：不要再用。

简单记：**买青黄交接的，别买全黄带黑点的；运输别压别闷；到店别冷藏，放阴凉通风处；包果柄、分开摆、先进先出。**  
如果甜品店用量大，最有效的是：**分批次采购 + 按成熟度分区存放 + 先熟先用。**
