针对社区超市增加香蕉和苹果的采购选择，建议如下：

**核心结论：优先选择稳定供应商，辅以本地批发作为补充。**

**具体建议：**

1.  **首选稳定供应商（签订长期协议）：**
    *   **理由：** 香蕉和苹果对冷链和保鲜要求高，尤其是香蕉有后熟特性。稳定供应商通常有标准化采购、专业仓储和物流，能保证货源稳定、品质可控，且价格波动较小，采购流程简单，减少人力和时间成本。
    *   **操作：** 筛选有资质的供应商，对比2-3家，重点考察其仓储能力、配送及时性和售后处理机制（如损耗补偿政策）。初期可先小批量试合作，确认品质稳定后再签订固定供货合同。

2.  **补充本地批发市场：**
    *   **理由：** 主要用于处理**突发需求**（如节假日高峰、促销活动）或**临时缺货**。本地批发市场灵活性高，可以少量多频次补货，减少库存积压。
    *   **操作：** 建立1-2家固定摊位联系，用于应急补货。但需注意，本地批发价格波动大，品质不稳定，且需自行运输，损耗风险较高。

3.  **关键管理要点：**
    *   **损耗控制：** 苹果建议按周补货，香蕉建议按3天补货（未熟的放常温，熟的放冷柜或优先陈列）。
    *   **定价与选品：** 稳定供应商适合走量大的基础款（如红富士、进口香蕉）；本地批发市场适合挑品相好的高端款或特价引流款。

**总结：** 长期用稳定供应商保证基本盘，短期用本地批发灵活应对，这样成本和风险最平衡。
