在超市采购水果时，为了应对农残抽检并降低风险，提前向供应商索要以下资料非常关键。建议采用**书面形式**（邮件或合同附件）要求供应商提供，并建立档案：

### 1. 核心必查证件（资质与关系）
-   **营业执照**：确认供应商合法经营，且经营范围包含水果销售。
-   **食品经营许可证**：如果涉及批发销售，须有此证。
-   **产地证明**：证明水果来源产地（如某农业合作社、基地），这是溯源的基础。

### 2. 质量安全核心文件（针对农残）
-   **农药残留检测报告**：
    -   必须是**近期**（一般要求1个月内或随批次）的。
    -   最好由**第三方权威机构**（如SGS、华测、谱尼、省级质检院）出具。
    -   看报告是否包含你们采购品种（如苹果、香蕉）的对应检测项目（有机磷、菊酯类、氨基甲酸酯类等）。
-   **产地合格证明 / 食用农产品合格证**（即“一证一票”中的一证）：这是产地准出和市场准入的凭证，需随货同行。
-   **承诺达标合格证**：现在很多地区要求，供应商应出具，承诺产品符合农药残留安全标准。

### 3. 追溯与批次文件（应对抽检的关键）
-   **供货批次清单 / 发货单**：清晰列明本次采购的品种、数量、生产日期（采摘日期）、基地名称或批次号。
-   **种植环节记录（如有）**：尽量要求提供基地的**农药使用记录**（用药名称、日期、安全间隔期）。虽然不是所有批发商会给，但对大型基地供应商一定要索取。

### 4. 供应商内部质量文件
-   **企业质量管理手册或自检记录**：证明其有内部自检（如农残快速检测仪记录）。
-   **产品标准执行标准号**：如GB 2763（食品安全国家标准 食品中农药最大残留限量），确认其产品符合该标准。

---

### 特别提示（操作建议）

1.  **明确“抽检”应对条款**：在采购合同中写明：“供应商须保证所供水果符合GB 2763标准，若因农残超标被市场监管部门抽检不合格，供应商需承担全部责任，包括行政罚款、货物销毁损失及超市名誉损失赔偿。”
2.  **索取“电子版”备份**：拿到纸质版后，务必要求对方通过邮件提供**扫描件**，方便备查和追溯。
3.  **随机索要“该批次的”**：不要只留一份旧报告，**每一批次到货**都要更新对应的检测报告。
4.  **如供应商无法提供**：建议要求其**必须在到货前3天**交给你们，否则拒收；若长期无法提供，请评估是否替换供应商。

**总结一句话**：核心要**三证一报告**（营业执照、许可证、合格证、近期第三方农残检测报告），并附上**批次发货单**。最好在合同中锁定抽检不合格的**赔偿责任**。
