最应该优先问**售后**，其次问**配送**，最后再谈价格。理由如下：

1. **售后（最核心）：**
   - 水果是生鲜，易坏、易磕碰、成熟度不稳定。如果售后没保障（例如不包坏果、超过一定比例才赔偿、理赔流程繁琐），一旦出现质量问题（比如到货全烂、品质差），团长要自己贴钱赔付团员，或者失去客户信任，血本无归。
   - 一定要问清楚：坏果/烂果赔付标准是什么？是坏几个赔几个，还是按比例赔付？理赔需要什么凭证（照片、视频）？多久内有效？

2. **配送（次重要）：**
   - 水果很娇气，配送时效直接影响货架期和新鲜度。如果配送晚了一天，或者配送途中没有冷链/保护措施，到手就可能变质。
   - 需要问：配送频率（每天还是隔天）、配送时间（上午还是下午）、是否覆盖你的团购点、是否有固定最低起送量或免运费门槛、通常使用什么物流/车辆（常温还是冷链）？

3. **价格（最后问）：**
   - 价格可谈，但建立在品质和售后稳定的基础上。如果供应商能提供超低价但售后极差、配送混乱，最终带来的损失（退款、客诉、时间成本）会比省下来的差价大得多。
   - 只有当售后和配送都满足你的要求后，再去比价，争取最优价格（通常是阶梯价、满返、账期优惠等）。

**总结建议：** 先找2-3个候选供应商，各自问清楚售后标准（最好拿到书面承诺），再对比配送方案，最后谈价格。能合作的前提是**“出了事有人赔，货能准时新鲜到”**，而不是价格最低。
