都乐和洪九果品通常**不会对外提供可自由使用的品牌营销素材包**，除非你是他们的渠道商、合作方或已签约客户。生鲜电商想做菠萝品牌营销，更现实的做法是：

1. **先确认你和这两家是否有合作关系**
   - 如果你是它们的经销/分销/平台合作方：可以直接找对接的销售或市场负责人，申请产品图、品牌Logo、检测报告、产地信息、授权话术等。
   - 如果只是普通采购或想蹭品牌：一般拿不到官方授权素材，擅自使用Logo、包装图、宣传语会有侵权风险。

2. **如果没有合作关系，建议走“渠道采购+自建内容”**
   - 从都乐或洪九正规渠道进货，保留采购凭证。
   - 自己拍摄菠萝实拍图、开箱视频、切果视频、糖度测试、产地/品种介绍。
   - 文案里可以写“采购自都乐/洪九渠道”“同款品种”这类事实性描述，但不要用“官方合作”“品牌授权”“都乐旗舰店”等容易误导的词。

3. **可向对方申请的支持通常包括**
   - 产品基础信息：品种、产地、规格、糖度、成熟度、储存方式。
   - 质检/检疫/检测报告：用于平台资质和详情页背书。
   - 授权素材：仅限已签约合作方，通常有使用范围和期限。
   - 联合营销：销量达到一定规模后，才可能谈联名、活动支持、达人资源或费用分摊。

4. **平台端可替代的素材来源**
   - 都乐官网、官方旗舰店、公众号：可参考公开信息，但不能直接搬运图片。
   - 洪九果品官网/年报/公开报道：可引用公开数据，但要标注来源。
   - 自己拍：最安全，也最适合生鲜电商详情页和短视频。
   - 第三方图库：买可商用授权图，但别冒充都乐或洪九产品。

5. **实操建议**
   - 先问招商/销售：有没有“电商渠道素材授权”和“一件代发/批采政策”。
   - 同步准备自拍素材：菠萝外观、切开、手撕、糖度计、试吃、产地装箱。
   - 详情页写清楚：品种、规格、净重、产地、发货地、成熟度、售后规则。
   - 营销主题可做：春夏季菠萝季、手撕菠萝、凤梨区别、糖度实测、办公室果切、低卡水果。

一句话：**都乐和洪九的官方素材一般只给合作方；非合作方不要直接拿用，最好采购进货后自建实拍内容，再向对接渠道申请有限授权。**
