连锁门店在不同城市分布时，评估水果供应商的仓配覆盖，核心要看**“鲜度”与“损耗”能否在物流链路中达标**。水果是短保生鲜，仓配覆盖不仅仅是“能不能送到”，更是“送到后是否还能卖”。

建议从以下四个维度、六个关键指标进行系统评估：

### 第一维度：物理覆盖网络（能否触达）
1. **仓网层级与距离**：
   - 问清供应商的仓配中心（DC）分布。评估每个城市的门店到最近仓的**实际公路运输距离**（非直线距离）。
   - **关键阈值**：水果运输半径建议控制在**300-500公里**内（常温/冷藏车当日达或次日凌晨达）。若门店距离供应商DC超过500公里且无前置仓，鲜度风险极高。
2. **配送频次**：
   - 供应商对每个城市是**每日配送**还是**隔日配送**？
   - 水果品类（如草莓、蓝莓）建议**每日一配**，甚至部分叶菜类需**一日两配**。若某城市订单量不足，供应商只能隔日配，那该城市的门店就不适合上架高损耗短保品。

### 第二维度：冷链能力（温度与时效）
3. **温层匹配度**：
   - 水果对温度极为敏感。评估供应商能否提供**多温层**运输（如：冷藏0-4℃用于浆果，恒温14-18℃用于香蕉/热带水果）。
   - 检查其物流车是否具备**独立温控记录仪**，且能提供全程温度曲线（而非仅口头承诺）。
4. **分拣时效承诺**：
   - 从供应商DC出货到门店收货，是否有明确的**“SLA（服务等级协议）”**？例如：订单截止时间（当日XX点前下单，次日XX点前送达门店）。
   - 重点关注**节假日或台风季**的应急配送预案。

### 第三维度：最后一公里（门店收货能力）
5. **门店卸货与暂存条件**：
   - 供应商将货送到后，门店是否有足够的**冷柜/冷库暂存**？如果门店无冷藏条件，供应商必须做到**精准的“定时达”**（如早上7点前必须到店，否则直接损耗）。
   - 评估供应商是否提供**电子回单**及**到货验收拍照**，便于门店端进行鲜度核验（如：草莓是否出水、叶菜是否萎蔫）。

### 第四维度：数据与柔性（动态调整）
6. **订单响应与缺货率**：
   - 供应商能否实时反馈**库存与在途信息**？
   - 试运营期（建议1个月），重点监测供应商在每个城市的**准时到货率（目标≥98%）**和**货损率（目标：浆果类≤5%，柑橘类≤2%）**。

---

### 实操建议：三步完成评估

**第一步：画出“覆盖-需求”矩阵**
- 将你的门店按城市分组，列出每个城市的**日均水果SKU数**和**预估日订单金额**。
- 让供应商提供其DC位置、辐射半径、每日配送线路图。若某城市在供应商核心圈（半径150公里）内，优先合作；在边缘圈（400-600公里），要求其提供**“前置仓”或“越库中转”**方案。

**第二步：开展为期2周的“模拟压力测试”**
- 随机选择3个不同距离的城市（近郊、中等、远郊），让供应商在**正常工作条件下**配送指定高损耗水果（如：樱桃、葡萄）。
- 记录从下单到收货的**全程耗时**、**到货表皮温度**、**开箱损耗率**，对比不同城市的达标情况。

**第三步：签订“弹性合同”**
- 合同中明确：根据各城市月度实际订单量，供应商需在**30天内**调整该城市的配送频次或增设临时分拨点，否则触发赔偿条款（如：承担损耗费用）。

**特别注意**：
如果供应商**只能覆盖一线城市**，而你的门店在三线城市，建议**不要直接配套**。优先选择**“区域供应商组合”**（不同城市选用不同本地供应商），虽然管理成本略高，但鲜度远优于“一供到底”。水果生意的核心是新鲜度，距离越远，品质风险越大。
