超市采购水果时，供应商通常需要提供以下几类检测报告或进货证明，具体以超市验收标准和当地监管要求为准：

1. **进货证明/购销凭证**
   - 供货合同、订单、送货单、发票或收据。
   - 记载品名、规格、数量、产地、供货商名称、联系方式、批次/采摘日期等。

2. **产地证明或来源证明**
   - 产地供货证明、基地证明、合作社证明、收购凭证等。
   - 进口水果需提供入境货物检验检疫证明、报关单等。

3. **质量合格证明**
   - 供应商自检报告或第三方检测报告。
   - 常见检测项目：农药残留、重金属、霉菌毒素等。
   - 报告应覆盖对应批次，并在有效期内。

4. **农产品质量安全承诺达标合格证**
   - 国内食用农产品常见要求，尤其来自规模化生产主体。
   - 证明其符合农产品质量安全标准。

5. **检验检疫相关证明**
   - 进口水果：入境货物检验检疫证明。
   - 部分特定水果或地区可能要求植物检疫证书。

6. **标签和包装合规证明**
   - 预包装水果需符合标签标识要求。
   - 散装水果需有品名、产地、生产者或经营者信息。

7. **其他可能要求**
   - 有机、绿色、地理标志等认证证书（如宣称相应资质）。
   - 供应商营业执照、食品经营许可证或相关备案信息。
   - 冷藏、冷链运输温度记录（如适用）。

实际操作中，超市一般会要求供应商“证随货走”，即每批次到货时提供对应批次的合格证明或检测报告。如果供应商无法提供，超市可拒收或要求补检。
