对于餐饮连锁采购水果，选择中央厨房统一收货还是门店分开收货，取决于连锁规模、水果特性、物流能力和成本控制目标。建议如下：

1. **中央厨房统一收货更优的情况**：
   - **大规模连锁**（门店数>10家）：可集中采购降低单价，统一品控，减少门店管理负担。
   - **水果易损或需预处理**（如切配、清洗）：中央厨房可统一加工并标准化分装，减少门店损耗。
   - **物流半径可控**（中央厨房到各门店单程<2小时）：通过统一配送车降低重复运输成本。
   - **需统一库存管理**：中央厨房可平衡各门店需求，避免部分门店缺货或积压。

2. **门店分开收货更优的情况**：
   - **本地化采购为主**（如季节性、地域性水果）：门店直接对接本地供应商，保证新鲜度和灵活性。
   - **门店数量少或分散**（<5家）：统一收货的物流成本可能高于分散采购折扣。
   - **水果保质期极短**（如当天采摘的草莓、浆果）：减少中间环节，直接到店可缩短周转时间。
   - **门店自主权高**：允许店长根据客群调整进货品种和数量，避免中央统一分配僵化。

**建议动作**：
- **进行试点比较**：选择配送距离适中的1~2家门店，同步对比中央厨房配送和门店自采的损耗率、采购单价、人工成本。
- **混合模式**：将标准品（如苹果、橙子）统一收货，鲜活品（如叶菜、本地瓜果）由门店自采。
- **数据跟踪**：监控水果新鲜度投诉率、退货率、库存周转天数。

根据典型经验：多数中型以上连锁餐饮采用中央厨房统一处理易损耗水果，门店保留本地特色水果采购权。
