关于佳农（Goodfarmer）水果的苹果品类，我的直接信息有限，无法提供最新的在售产品清单或具体产地细节。不过，我可以基于一般情况和公开信息给你一些参考建议：

1.  **佳农苹果品类的特点**：
    *   佳农是国内知名的进口水果品牌，以运营高品质、标准化水果为主。其苹果品类通常是**精品果**路线，主打脆甜、多汁、果径均匀等标准。
    *   常见的品类可能包括**红富士**、**嘎啦**、**金帅**等，具体以当季货源为准。

2.  **关于进口苹果**：
    *   佳农的核心优势之一就是进口水果供应链，**通常是有进口苹果的**。常见的进口品种如新西兰的**爱妃（Envy）**、**爵士（Jazz）**、美国的**蛇果（Red Delicious）**，或智利、法国的品种。
    *   **但请注意**：进口苹果是否在售、具体哪个国家，完全取决于**当前季节、港口通关状态和地区库存**。不同城市、不同门店（如山姆、盒马、超市专柜）的上架情况差异很大。

3.  **给你的可执行建议**：
    *   **最可靠的方法**：由于我的信息无法实时更新，建议你**直接打开佳农的官方小程序**、**天猫/京东旗舰店**，或者**询问你常去的门店导购**。在搜索框输入“苹果”或“进口苹果”，查看当前在售的具体SKU和产地标签。
    *   **警惕信息真实性**：我无法核实你所在地区是否有货，请勿轻信任何非官方渠道的“内部价”或“特定批次”信息。

如果你需要，我可以帮你梳理一下**判断苹果品质的通用小技巧**（比如看光泽、掂重量、看果脐），这比单看品牌更实用。需要吗？
