关于佳农水果的售后服务，整体评价属于**中规中矩、以电商平台规则为主**的类型。它不像一些高端小众品牌那样提供“坏一赔十”的过度承诺，但只要按照正确流程操作，维权成功率很高。

针对“到货有坏果”的处理，**最核心的原则是：在签收后24小时内（部分平台是48小时内），提供清晰的坏果照片和快递面单照片**。

具体操作流程如下：

**1. 拍照留证（关键步骤）**
- 将坏果和**完好的水果**放在一起拍照，确保能看清坏果的数量和腐烂状态。
- **必须**拍下快递单号（面单），并将面单与坏果放在同一画面中，证明是“这一箱”出现的问题。

**2. 联系渠道（按优先级排序）**
- **购买平台（首选）**：在淘宝、京东、拼多多等平台订单页面，直接点击“申请售后”或“联系客服”。平台客服响应最快，且平台有“坏果包赔”机制，通常直接按比例退款（例如：坏3个，按个数比例退款）。
- **官方微信公众号**：关注“佳农”官方公众号，在菜单栏找到“售后”或“联系客服”，提交照片。如果是官方小程序购买，此路径最有效。
- **电话客服**：仅在上述渠道无响应时使用，但电话客服通常需要你重复描述，效率较低。

**3. 赔偿标准（行业惯例）**
- 赔偿通常是**按比例退差价**，而不是整箱退款。例如：一箱10个芒果坏了2个，通常退20%的货款。
- 如果坏果比例超过50%（或者说烂了大半箱），可以要求**整箱退款或补发一箱**，绝大多数情况下客服会同意。

**4. 常见“踩坑”提醒**
- **千万不要签收后放几天再申请**：水果变质有时效性，超过48小时未反馈，客服会以“保存不当”为由拒绝赔偿。
- **不要切开坏果**：申请售后时，坏果必须是完整的（或至少能看到明显腐烂），切开后拍照容易被拒赔。
- **如果客服推诿**：直接拨打平台客服电话（如淘宝9510211）介入，平台介入后通常秒赔。

**总结建议：**
佳农的售后底线是“**坏多少赔多少**”。如果你收到的水果有明显腐烂，**优先用平台“仅退款”功能**，上传照片后一般半小时内退款到账。只要照片清晰、时间及时，基本不会被刁难。如果遇到店家拒绝，直接申请平台介入即可。
