社区超市找每天配送的水果供应商，建议重点看以下条件，按优先级排序：

1. **配送能力**
   - 是否每天固定配送，几点前能到店。
   - 是否支持小批量、多频次补货，而不是一次压很多货。
   - 临时加单、缺货补送、节假日配送是否正常。
   - 配送范围是否覆盖你所在区域，运费怎么算。

2. **货源稳定性**
   - 是否有固定产地、批发市场档口或一级/二级批发渠道。
   - 应季水果和反季水果分别能不能稳定供。
   - 爆款水果断货时，能否提前通知并给替代方案。

3. **价格与结算**
   - 报价是否随行就市，是否有每日/每周报价单。
   - 是否含运费、打包费、损耗费。
   - 账期还是现结，能否月结，押金多少。
   - 价格是否比本地批发市场有明显优势，还是只胜在省事。

4. **品质与损耗**
   - 是否支持验货后再签收。
   - 坏果、烂果、规格不符怎么赔，比例和时效。
   - 损耗率大概多少，是否包售后。
   - 能否按你的客群提供合适规格，比如小果、中果、礼盒果。

5. **品类匹配度**
   - 是否覆盖你店里常卖的品类：苹果、香蕉、橙子、梨、葡萄、西瓜、时令小果等。
   - 能不能提供本地人常买、价格带合适的货。
   - 是否支持少量多品，而不是只供大单品。

6. **资质与安全**
   - 营业执照、食品经营相关资质是否齐全。
   - 能否提供检测报告或产地证明。
   - 冷链水果是否有冷藏运输条件。

7. **合作灵活性**
   - 起订量多少，是否强制绑定长期合同。
   - 试合作期多久，能不能先试一周。
   - 出现连续质量问题能否无条件换供应商。

8. **实际考察建议**
   - 先让对方送 3—7 天小批量试单。
   - 每天记录到货时间、损耗、退货处理、价格波动。
   - 对比本地批发市场自采成本，算上人工和损耗后再决定。
   - 最好同时保留 1 家主供应商 + 1 家备用供应商，避免断供。

简单判断标准：**能每天准时送、坏果敢赔、价格不高于本地批发太多、品类适合你店客群，就可以先试。** 如果只能隔天送、损耗不赔、起订量很高，通常不适合社区超市。
