当水果店遭遇坏果时，合理的结算或赔付方式通常取决于你与供应商签订的合同条款或双方约定的行业惯例。以下是标准流程和建议，供你参考：

1. **确认责任归属**  
   - **运输风险**：如果是物流导致损坏，一般需由运输方承担（除非合同明确由收货方负责）。  
   - **产品问题**：若坏果源于供应商发货时品质不佳（如未成熟、病变、虫蛀），供应商需负责。  
   - **储存不当**：若到货后因店铺储存不当（温湿度、摆放挤压）导致后续腐烂，通常归店铺自己承担。

2. **现场处理步骤**  
   - **开验货环节**：到货后立即检查，发现问题时拍照/录像取证（坏果特写、外包装、运单号、时间）。  
   - **坏果比例**：区分轻度瑕疵（可降价售卖）与完全腐烂（不可销售）。  
   - **通知时效**：多数供应商要求在到货后4-24小时内提出异议（具体按合同约定）。

3. **常见结算与赔付方式**  
   - **按比例扣款**：例如坏果率≤5%时自行消化，超过部分按批发价扣除对应金额。  
   - **直接换货**：供应商在下次发货时补发等量好果，或按比例折抵下次货款。  
   - **现金补偿**：需双方确认坏果数量，供应商退款或从应付货款中扣除。  
   - **信用额度调整**：部分供应商会记录并给予下次订单的折扣或运费减免。  

4. **沟通与合同要点**  
   - **明确结算条款**：如合同未写明坏果处理方式，建议在合作前补充约定（如“自然损耗3%以内不计，超出部分按批发价80%赔付”）。  
   - **保留证据**：建议通过微信、邮件等可留痕的方式沟通确认，避免口头承诺。  
   - **行业惯例参考**：比如水果批发市场常见的是“报损率1-5%”或“到货后24小时内反馈”。

5. **特殊情形应对**  
   - 若供应商完全拒绝赔付：可依据合同条款要求合理赔偿，或协商未来合作折扣。多次恶意不处理可考虑更换供应商。  
   - 区域性水果可参考当地农贸市场惯例，或通过行业商会协商标准。

建议你立即核对与供应商的合同细则，若无明确条款，可优先采用“按比例扣款+换货”的折中方案，既减少现金损失，也维护合作关系。
