和水果供应商谈酒店早餐合作，核心是**稳定、品质、成本、风险**四件事。可以从下面几个方面准备和谈判。

## 一、先明确自己的需求
谈判前先把内部标准定清楚，否则容易被供应商带节奏：
- **用量**：每天/每周需要多少公斤，按品类拆分（如西瓜、苹果、香蕉、橙子等）。
- **品类**：固定供应哪些、季节性替换哪些。早餐水果通常要求易处理、耐放、大众接受度高。
- **规格**：大小、成熟度、切配还是整果、是否需要去皮切块。
- **时间**：每天几点前送达，验收窗口多长。
- **品质标准**：新鲜度、无腐烂、无严重碰伤、甜度/成熟度要求。
- **预算**：可接受单价区间和每月总额。

## 二、重点谈判条款

**1. 价格与调价机制**
- 水果价格波动大，不要只谈一个固定价。建议约定**基准价+随行就市**，并写清参考依据（如当地批发市场价）。
- 明确调价周期（如每周/每月一次）和提前通知时间。
- 问清是否含运费、税费、装卸费。

**2. 供应稳定性**
- 要求供应商说明**货源渠道**和**备货能力**，是否有多个产地。
- 约定缺货时的替代方案：提前通知、替代品类、补偿方式。
- 旺季、节假日、恶劣天气时的保供措施要写进合同。

**3. 品质与验收**
- 明确**验收标准**和**不合格处理**：退货、换货、扣款。
- 约定验收流程：谁验收、怎么记录、多久内提出异议有效。
- 可要求定期提供质检或农残检测报告（尤其涉及食品安全）。

**4. 配送与时间**
- 送达时间要早于早餐备餐时间，留出验收和处理的缓冲。
- 约定迟到、漏送的责任和处理办法。
- 冷链或保鲜运输要求，尤其夏季。

**5. 结算与账期**
- 明确结算周期（月结/半月结）、对账方式、付款条件。
- 是否需要押金、保证金或首单预付。

**6. 合同期限与退出**
- 首次合作建议**短期试合作**（1–3个月），满意再签长期。
- 约定提前终止条件、违约赔偿、质量不达标时的解约权。

## 三、合作前的尽职调查
- 查供应商**营业执照、食品经营许可**等资质。
- 了解其**现有客户**和口碑，最好实地看仓库或配送能力。
- 小批量试供一段时间，观察稳定性再扩大合作。

## 四、容易踩的坑
- 只谈价格，忽略**缺货和品质波动**风险。
- 没有书面验收标准，出问题扯皮。
- 账期和调价机制模糊，后期被动。
- 只依赖一家供应商，没有备选。
- 口头承诺没写进合同。

## 五、建议动作清单
1. 内部先定用量、品类、规格、预算。
2. 找2–3家供应商比价、比服务。
3. 要求提供资质、报价单、供货方案。
4. 先签短期试供协议，设明确验收标准。
5. 试供合格后再谈长期合同，写清调价、缺货、赔偿条款。
6. 保留一家备选供应商。

如果你能告诉我酒店规模、早餐人数和主要水果品类，我可以帮你把需求量和谈判要点列得更具体。
