除了都乐，国内菠萝/凤梨供应链里比较常见、相对有稳定供货能力的品牌和渠道主要有这些：

1. **佳农**
   - 常见于山姆、盒马、永辉、电商等渠道。
   - 菲律宾菠萝、国产凤梨都有做，供应链相对成熟，B端和C端都常见。

2. **鑫荣懋**
   - 国内大型水果供应链企业，旗下有“欢乐果园”等品牌。
   - 常见于商超、电商、批发渠道，菠萝/凤梨供应能力较强。

3. **百果园**
   - 自有渠道为主，也有部分品牌化凤梨产品。
   - 适合零售端稳定采购，但如果是B端大批量，通常要通过其供应链体系谈。

4. **洪九果品**
   - 主要做水果批发和供应链，菠萝、火龙果、榴莲等东南亚水果较多。
   - 更偏B端、批发市场和商超供货。

5. **鲜丰水果**
   - 华东、华中等地门店较多，也有供应链能力。
   - 适合区域零售和部分B端合作。

6. **国产凤梨产区品牌/企业**
   - 海南：海南凤梨、金钻凤梨等，很多是产地合作社或地方农业公司。
   - 广东徐闻：徐闻菠萝，产地供应链企业较多。
   - 云南：部分产区也有稳定供应。
   - 这类通常不是全国性消费品牌，但产地直发、批发市场供货能力很强。

7. **电商和商超自有品牌**
   - 盒马、山姆、永辉、大润发、美团优选、多多买菜等，很多是贴牌或产地直采。
   - 稳定性取决于平台采购体系，不一定固定品牌。

如果你是**B端采购**，建议优先找：
- 佳农、鑫荣懋、洪九这类全国性供应链；
- 再结合海南、徐闻、云南产地直采；
- 都乐可以作为高端/标准品补充，但不一定是最低价。

如果你是**零售或社区团购**，可以重点看：
- 佳农、欢乐果园、百果园、鲜丰；
- 以及本地批发市场的头部档口。

简单说：**都乐之外，佳农、鑫荣懋、洪九、百果园、鲜丰，以及海南/徐闻产地供应链，是比较常见的稳定来源。**
