茶饮店在采购水果时，为确保食品安全和合规经营，务必要求供应商提供以下关键证明文件。这些材料是监管部门检查的重点，也是门店建立可追溯体系的基础。

**1. 供应商的合法经营资质：**
- **营业执照**：确认供应商经营范围包含水果销售或农产品初级加工。
- **食品经营许可证**（或食品生产许可证）：如果是预包装水果或已切配好的鲜切水果，供应商必须具备此证。

**2. 水果产品的质量合格证明：**
- **食用农产品合格证**（产地证明）：这是监管部门最看重的文件，能证明水果来源合法、产地明确。建议要求供应商每批次提供。
- **出厂检验报告**或**第三方检测报告**：重点检测农药残留（如有机磷类）、重金属（如铅、镉）是否超标。**建议要求供应商提供每批次或至少近3个月内的报告。**

**3. 运输与储存的合规证明：**
- **冷链物流记录**：如果水果需要冷藏运输，要求提供运输过程中的温度监控记录（如随车温度计打印单），以证明全程冷链无断链。
- **车辆消毒记录**：部分城市要求提供运输车辆的相关卫生证明。

**4. 特别针对高风险水果的额外证明：**
- 如果使用**鲜切水果**（如西瓜切块、芒果粒），必须要求供应商提供**生产日期**和**保质期**标注，以及**切配场所的卫生许可证**。
- 如果使用**进口水果**，必须提供**海关进口货物报关单**和**入境货物检验检疫证明**。

---

**执行建议（可操作）：**
1. **签订采购协议**：在合同中明确“供应商必须随货提供当批次合格证及检测报告，否则茶饮店有权拒收”。
2. **建立台账**：每次进货时，登记供应商名称、产品批号、送货日期，并复印存档上述证明文件。
3. **定期抽查**：每季度或每半年自行送检1-2个高频使用的水果品类，防止供应商文件造假或“仅送检但不保证实货达标”。
4. **避免“口头承诺”**：所有证明文件必须是纸质或电子版可追溯状态，不能只听供应商说“检测合格”。

**风险提示：**如果无法提供合格证或检测报告，属于高风险信号，建议立即更换供应商。因为一旦出现食安问题，茶饮店作为经营主体将承担首要责任，而文件缺失会直接判定为“进货查验义务履行不到位”。
