判断香蕉一手货源是否稳定，可以从以下几个可操作、可核实的方面入手：

1. **考察基地/种植园规模**  
   - 实地或通过视频看种植面积、种植密度，以及是否连片管理。  
   - 询问年产量、月产量，**至少要求对方提供过去3个月的出货记录**（比如每天出多少车、多少吨）。  
   - **若对方无法提供具体数字或含糊其词，直接视为不稳定。**

2. **确认合同条款与履约能力**  
   - 要求签订书面购销合同，写清楚：  
     - 最小起订量、日/周供应量上限；  
     - 违约条款（如断供、推迟交货的赔偿比例）；  
     - 保证金或定金条款（通常稳定货源会接受10-30%定金）。  
   - 问对方**是否能长期（至少3个月）锁定价格**：如果只能按当天市价现卖，说明对方没有稳定库存或利益绑定。

3. **查验产区气候风险与储备**  
   - 问对方：  
     - 今年是否遇到台风、寒潮或病害（如香蕉叶斑病、枯萎病）？  
     - 如果短期断货，是否有备选果园或冷库储备（比如与周边农场有代收协议）？  
   - **如果对方对产区灾害毫无预案（如只说“我们一直很稳”但说不清备货来源），风险高。**

4. **走访供货现场与物流记录**  
   - 要求随看一次装车发货：  
     - 观察**装货速度**（熟练工人、固定车辆、固定路线 → 稳定供应链）；  
     - 看**上车香蕉的成熟度**（是否统一7-8成熟、无大面积机械伤）。  
   - 核对车牌号、司机电话，**随机打过去问司机“这承包人你做了几年？”**（老司机更稳定）。

5. **参考第三方评价**  
   - 找批发市场内其他档口（尤其卖同类应季水果的）打听：  
     - “那个基地（或个人名）的香蕉，这两年有没有断过货？”  
   - 或上网查当地农业农村局公布的“香蕉规模种植主体名单”——有政府备案的更可靠。

**一句话判断法则**：  
能提供**连续3个月发货流水 + 明确应急储备方案 + 愿意签带违约条款的合同**的，才是稳定货源。任何一条做不到，就当“临时货源”对待。
