可以做到，但准确说不是“某一家公司靠一个产地全年供货”，而是靠**多产地接力 + 冷链仓储 + 催熟加工 + 全国/全球调度**。鑫荣懋和都乐都属于这个体系里的头部玩家。

**结论：**
- **都乐：可以。** 都乐是全球果蔬巨头，香蕉是其核心单品之一，拥有菲律宾、厄瓜多尔、哥伦比亚、哥斯达黎加等多国产地资源，也有成熟的冷链、催熟和配送体系。给大型商超做全年不断货，属于其常规能力范围。
- **鑫荣懋：基本可以，尤其在国内渠道。** 鑫荣懋是中国头部水果供应链企业，香蕉也是其重点品类，国内产地+东南亚进口结合，配合自有/合作催熟仓和冷链网络，服务大型商超全年供应通常没问题。
- **但“能做到”不等于“任何门店、任何时段都绝对不缺货”。** 香蕉全年不断货还取决于：商超订单量、配送频率、门店仓储条件、催熟计划、产地天气、船期、海关、价格波动等。

**大型商超真正要看的不是“能不能供”，而是这几个指标：**
1. **全年供货覆盖率**：是否承诺365天可下单、可配送。
2. **多产地备份**：菲律宾出问题，能否切厄瓜多尔、哥伦比亚、国内云南/广西/海南等。
3. **催熟能力**：香蕉到仓后要催熟到适合门店销售的成熟度，催熟仓布局很关键。
4. **冷链与配送频次**：能否按商超要求做日配、隔日配或区域仓配。
5. **缺货赔付与应急预案**：船期延误、台风、病害、口岸堵关时怎么补。
6. **成本稳定性**：全年不断货往往意味着价格会随产季波动，商超要接受调价机制或锁价协议。

**实操建议：**
- 如果商超要的是**全国性、多区域、长期稳定供应**，都乐和鑫荣懋都可以进入供应商短名单。
- 如果商超更看重**国内响应速度、区域仓配和本地催熟**，鑫荣懋通常更有优势。
- 如果商超更看重**全球产地调配、品牌背书和跨国供应链**，都乐通常更强。
- 最稳妥的做法不是二选一，而是**双供应商或“主供+备供”机制**，避免单一供应商因船期、天气或产地问题导致断货。

所以，简单回答：**这两家都有能力服务大型商超的香蕉全年供应，但商超应通过合同条款、双供应商和应急预案来确保“不断货”真正落地。**
