判断一个水果供应商是否靠谱，建议从以下五方面考察，尤其针对香蕉和菠萝这类易损耗、成熟度控制要求高的水果：

1. **实地考察仓储与冷链**  
   - 看香蕉是否在专门催熟库（带温湿度控制）存放，而非露天或普通仓库。  
   - 菠萝应存放在阴凉通风处或冷库（5-10℃），避免被堆压过久。  
   - 检查是否有独立冷藏车配送（时长≤24小时），而非整车混装。

2. **索要关键资质与报告**  
   - 要求提供《检验检疫合格证明》（国产/进口都必需）。  
   - 香蕉需关注“乙烯利残留量”检测（国标≤2mg/kg），菠萝看“多菌灵”是否符合国标。  
   - 要求提供近3个月同一批次水果的“成熟度检测记录”（香蕉7-8成、菠萝8-9成为佳）。

3. **试单并观察损耗率**  
   - **首次合作先试订50-100斤**，对比到货损耗：  
     - 香蕉正常损耗（压伤、青头）应≤5%，菠萝（发霉、腐烂）≤3%。  
     - 要求供应商提供“48小时无理由退换”或“损耗补偿”条款（如超过5%按比例退款）。

4. **评估补货与应急能力**  
   - 问清供货周期：香蕉需4-7天成熟期，菠萝可到货即售，供应商能否按你所需成熟度分批配送？  
   - 测试紧急补货响应：提前告知模拟“节假日爆单”，看能否在48小时内调配5-10箱同品质货品。

5. **合同锁定关键承诺**  
   - 必须写入：  
     - 到货时检测（温度、鲜度、重量），不符合可拒收或按损耗退款。  
     - 不可抗力条款（如台风、封关）需提供替代货源或延期方案。  
     - 结账周期：建议先从“月结”试用，稳定后再谈“半月结”。

**特别提醒**：  
- 谨慎对待“超低价”或“开口保证完美品质”的供应商，香蕉和菠萝运输中天然有自然损耗。  
- 优先选能提供**完整物流单据**（含运输温度曲线）和**分批次到货记录**的供应商。  

你可以先挑2-3家供应商做“20天试合作”，用实际到货数据（损耗率、退货率、补货速度）做最终选择。
