商超会员日做水果活动，核心目标是**高客流、高转化、快周转**。供应商的配合直接决定了活动的成败，建议从以下6个维度提前准备：

### 一、备货与品相（最关键）
1. **爆款单品锁量**：提前3-5天锁定3-5个引流爆款（如：特价西瓜、榴莲、香蕉、苹果），确保活动日到货量是平日的1.5-2倍。
2. **分级备货**：准备**引流级**（价格震撼、品相合格）、**利润级**（中高端、毛利高）、**常规级**三种货品，避免全卖特价导致毛利损失。
3. **鲜度管控**：活动前24小时完成品控筛选，挑出次果、烂果，避免活动当天顾客翻挑造成损失。建议带少量“换货备用果”。

### 二、冷链与物流（硬性保障）
4. **错峰送货**：活动当天必须提前2小时（甚至前夜）送达，避开营业高峰，保证陈列饱满。建议安排专人跟车押运。
5. **冷链不断链**：对草莓、蓝莓、车厘子等娇贵水果，必须全程冷链（2-8℃），到店后立即交接给卖场冷库，防止脱冷起雾、变质。
6. **损耗兜底协议**：提前与采购确认**活动期损耗分摊比例**（如：自然损耗谁承担、人为损耗谁承担），避免事后扯皮。

### 三、人员与驻场
7. **增派导购**：会员日客流量大，供应商需安排1-2名专职促销员（穿统一工服），负责试吃推广、打包、叫卖，能显著提升销售。
8. **打包预包装**：提前做好小份装（如：盒装草莓、袋装提子），方便会员快速选购，降低现场分拣压力，减少顾客翻动损耗。

### 四、陈列与物料（视觉效果）
9. **美陈道具供应**：提供异形堆头、藤编筐、价格牌、爆炸贴等，突出“会员专享价”标识。注意所有物料需提前一天进场布置，不能当天随意摆放。
10. **试吃台配置**：提前准备试吃托盘、牙签、垃圾袋，针对高毛利单品配试吃，试吃品成本需提前谈好归属。

### 五、价格与系统（后台配合）
11. **系统价格铺设**：活动前一天16:00前，将**会员价、非会员价**录入供货系统（如：非会员5元，会员3.9元），避免现场改价引发排队冲突。
12. **库存同步**：确认ERP或供应链系统的可售库存与实际到货一致，防止超卖或拒单。

### 六、应急预案（兜底方案）
13. **补货通道**：准备1辆备用车，承诺活动当天**2-4小时内可紧急补货**（针对爆款脱销）。
14. **质量退换**：明确告知商超，活动当天如遇整箱损坏或严重质量问题，可无条件换货，且换货响应不超1小时。

---

**给您的额外建议：**
- 活动前1天，让供应商提供**1张标准陈列图**，要求卖场严格按照该图执行，避免现场堆头杂乱。
- 活动结束后24小时内，与采购开10分钟复盘会，当场确认**实际损耗金额**和**下次档期合作意向**。

如果您是商超采购方，请将这些要求**以书面形式（微信/邮件）发给供应商**，并附上活动倒计时表（T-3天/ T-1天/ T日早晨），以确保执行到位。
