在小水果店进香蕉时，**最重要、最核心的权衡指标是“熟度”**，其次是“坏果率”，最后才是“价格”和“送货速度”。

具体建议如下，按优先级排序：

1. **熟度（最关键）**  
   - 香蕉是典型的呼吸跃变型水果，采摘后会继续成熟。进店卖的应该是**七到八分熟**（果皮还带绿色，但果实已饱满）。  
   - 太生（全绿）顾客不会买，太熟（全黄发黑）会迅速变质。  
   - 更看重熟度，意味着你判断“还有几天能卖完”，避免1天内损耗完。

2. **坏果率（直接影响利润和口碑）**  
   - 进货时逐箱抽查底部，坏果率高于5%就应拒收或折价。  
   - 坏果会传染，一根烂的会让整箱加快腐烂。这笔损耗远大于你省下的进价。

3. **价格（放到第三位）**  
   - 香蕉进价差通常不大（几毛钱/斤），但坏果率差1%可能损失几十元。  
   - 如果为了便宜，买到熟度不够或坏果多的货，你可能需要低价甩卖，利润反而更低。

4. **送货速度（对香蕉重要，但可作为谈判条件）**  
   - 送货快的好处是“减少路上催熟风险”，但如果次日能到且冷链良好，慢一天问题不大。  
   - 建议要求供应商明确“今日下午送货”或“次日早晨必达”，避免隔两天。

**执行建议**：  
- 进货时带一个测温计或用手捏中部，香蕉硬挺为佳。  
- 和供应商定死“八分熟，坏果率≤3%”的书面或口头协议，并约定坏果超标退货或补货。  
- 首次合作，宁可少进，先试探1-2次，摸清对方实际的熟度和送货稳定性。  

一句话总结：**不用纠结价格便宜1毛钱，先保证“熟度合适、坏果少”，这样你的损耗最低、销量最稳。**
