采购时建议首先关注**成熟度**，其次才是价格。具体原因如下：

1. **成熟度直接影响产品口感与口味**  
   - 香蕉蛋糕通常需要使用熟透的香蕉（表皮出现黑斑、果肉软糯），因为这样的香蕉甜度高、香味浓，且容易捣成泥状，能保证蛋糕湿润度和自然甜味。
   - 如果采购偏生或过于青涩的香蕉，蛋糕会缺乏香气、口感偏干，可能需要额外添加糖或香精来弥补，影响成品品质和顾客认可度。

2. **价格与成熟度的平衡策略**  
   - 在保证香蕉达到“最佳使用成熟度”（即表皮呈黄色带黑点）的前提下，再去比较不同供应商的价格。可以重点关注：
     - **批发市场尾货**：每天下午或闭市前，一些水果商可能低价处理熟透的香蕉（但需确认无腐烂或损伤）。
     - **供应商合作**：与长期合作的供应商约定按特定成熟度供货，并协商价格折扣（如大批量采购）。
   - 不建议购入过于低价的香蕉（可能品质不稳定，如成熟度不一致或局部坏损），否则挑选和处理的人工成本会抵消价格优势。

3. **可操作的采购建议**  
   - **提前规划用量**：根据每日蛋糕产量，预估未来1-2天所需的香蕉数量，避免一次性采购过多导致过熟浪费。
   - **分级采购**：如果同时需要不同用途的香蕉（如装饰用较完整的香蕉片需要偏硬一些），可分别采购不同成熟度的批次，分别标注。
   - **试做测试**：在更换供应商或品种前，试做一小批蛋糕，对比新旧香蕉在口感、水分、甜度上的差异，确认符合标准后再批量采购。

最终建议：**优先买成熟度达标（表皮有黑点、按压微软）的香蕉，即使价格稍高；如果价格明显偏低，务必检查实物，避开有腐烂、虫害或未熟透的批次。**
