社区超市进水果，核心就四个字：**小步快跑**。控制新鲜度和库存的关键在于**进销存节奏**和**消费数据复盘**，而不是盲目大量备货。

以下是可直接执行的具体策略：

**1. 进货策略：少量多次，按箱拆零**
- **不要按“车”进，要按“箱”进**：除非是节日或周末，否则每天只进当日预估销量的80%，留出20%的缓冲。
- **错峰采购**：早市（6:00-7:00）去批发市场拿头茬货，虽然单价可能高一点，但新鲜度最好，损耗最低。
- **混搭进货**：比如进10斤苹果，其中5斤是1-2元/斤的特价果（引流走量），3斤是3-4元/斤的普通果（主力利润），2斤是5元以上的精品果（提升档次）。

**2. 店内陈列与保鲜（减缓变质速度）**
- **“金字塔”式摆放**：底部放最熟的（今天就卖），顶部放较生的（明天卖）。店员补货时，**永远把新货放下面，旧货放上面**，确保旧货先卖。
- **分级处理**：把碰伤、有瑕疵的水果挑出来，**当场切盒或用保鲜膜打包**，降价50%卖“鲜切果盒”，这是社区店降低损耗最快的方法。
- **物理降温**：香蕉、木瓜等热带水果不要放冷柜（会变黑），放在阴凉通风处；苹果、梨子、葡萄类一定放冷柜最里侧。

**3. 库存控制：建立“日清”机制**
- **死守“三日原则”**：进货时，给自己定死规矩——**绿叶类（指水果中易烂的，如草莓、蓝莓）当天清完；核果类（如桃、李）2天内清完；硬果类（如苹果、柚子）最多3天**。如果第2天还没卖完，第3天早上必须做特价促销。
- **看“退货率”而不是看“进货量”**：每天盘点时，记录实际扔掉/亏损的水果数量（金额）。如果某类水果损耗超过15%，下周就砍掉50%的进货量，让顾客形成“这家店水果很新鲜，来晚了就没了”的印象。

**4. 数据驱动的补货公式（防止压货）**
- **每日进货量 = 昨日销量 × 1.2（周一至周四）**；**周五至周日 = 昨日销量 × 1.5**。
- **雨天/降温天减半**，晴天/周末上浮。
- **关注“滞销预警线”**：如果某水果在冷柜里放了超过36小时还没卖动，立刻贴上“今日特价”标签，哪怕亏本也要清掉，因为放一天变质的损耗成本远高于降价让利。

**5. 最大杀招：预售制（零库存风险）**
- 在社区微信群里，每天晚上8点发布“明日水果预告”，**先接龙预定，第二天早上进货**。
- 比如：“明天到货5箱山东樱桃，群里预定享受58元/斤，现场买65元”，这样你进多少卖多少，几乎不占库存。

**最后提醒：**
社区超市的竞争力在于**“新鲜”**，而新鲜必然伴随损耗。你要想清楚一个数学题：**算总账**。如果水果毛利是30%，允许的损耗率大约在5%-8%之间。如果损耗超过10%，说明进多了；如果损耗低于3%，说明进少了，你会流失顾客。

**执行清单（明天早上就开始做）：**
1. 把冷柜分成三个区域，贴上标签：**特价区（今天清）**、**促销区（明天清）**、**正常区（后天清）**。
2. 在收银台放一个本子，记录每天**扔掉了什么**、**扔了多少**。
3. 每天下午4点，把当天没卖完但还能吃的水果，切盒打折卖，**绝不过夜**。
