连锁超市节假日水果需求暴增，核心是提前把“量、价、质、时”四件事锁死。可按下面执行。

## 一、提前做需求预测，不靠拍脑袋
1. **拉历史数据**：看过去2—3年同节假日的销量，按品类拆分，如苹果、柑橘、车厘子、草莓、礼盒。
2. **区分刚需和礼盒**：
   - 刚需：香蕉、苹果、橙子、梨，走量稳定。
   - 礼盒/高单价：车厘子、阳光玫瑰、奇异果、进口水果，爆发强但波动大。
3. **结合当年变量**：假期天数、天气、促销力度、竞品动作、社区团购/线上订单预估。
4. **做三档预测**：保守量、目标量、冲销量。采购按目标量锁，按冲销量预备备用货源。

## 二、提前锁定货源，分层次签约
1. **主供应商锁量锁价**
   - 节前30—45天签框架协议，明确品名、规格、等级、数量、单价或价格浮动机制。
   - 对易波动品类，可用“保底量+浮动量”：
     - 保底量：必须交付，违约赔偿。
     - 浮动量：节前7天按实际预售追加。
2. **产地直采**
   - 对大宗单品，如苹果、柑橘、西瓜，直接对接产地合作社或基地。
   - 提前支付定金锁园子/锁冷库，约定采摘期、分级标准、到仓时间。
3. **多源备份**
   - 每个核心单品至少2—3个供应商，避免单一产地天气、物流、涨价断供。
   - 主供应商占60%—70%，备用供应商占30%—40%。
4. **进口水果提前订舱**
   - 车厘子、榴莲、山竹等要提前锁定船期、空运舱位和报关时效。
   - 关注春节、国庆前后的港口拥堵和清关周期。

## 三、用合同把关键条款写死
必须写清楚：
- 数量：保底量、追加量、最大供应量。
- 价格：固定价或浮动公式，避免节前坐地起价。
- 规格：果径、糖度、成熟度、净重、包装。
- 时间：到仓窗口，迟到怎么赔。
- 质量：坏果率、验收标准、退换货规则。
- 违约：缺货赔偿、质量不达标赔偿、不可抗力处理。

## 四、提前备货和仓储
1. **分批次到货**：不要节前3天集中到，容易压车、压仓、损耗大。
2. **冷链能力先盘清**：
   - 冷库容量、冷藏车、门店冷藏柜是否够。
   - 高损耗水果如草莓、蓝莓、荔枝，要按日配货。
3. **预包装和礼盒提前做**：
   - 礼盒、果篮提前7—10天备包材，节前3—5天组装。
   - 避免节日当天临时缺盒子、缺人手。
4. **门店分级铺货**：
   - 高销量店多铺，低销量店少铺。
   - 社区店偏刚需，商圈店偏礼盒。

## 五、节前运营动作
1. **预售锁需求**：
   - 线上小程序、社群、企业团购提前开预售。
   - 用预售量倒推采购量，降低库存风险。
2. **动态补货**：
   - 节前3天到节中，每天按实际销量调整次日订单。
   - 对爆品设置安全库存线。
3. **价格策略**：
   - 刚需品保持稳定，引流。
   - 礼盒和稀缺品做利润。
   - 不要节前频繁调价，容易伤供应商合作。
4. **应急方案**：
   - 准备替代品：车厘子贵可推国产大樱桃/进口红提；草莓断供可推蓝莓、葡萄。
   - 准备临时物流：同城批发市场、周边产地、兄弟门店调货。

## 六、最实用的执行清单
节前45天：
- 完成销量预测
- 锁定主供应商和产地
- 签保底量合同

节前30天：
- 进口水果订舱
- 冷库和物流确认
- 礼盒包材下单

节前15天：
- 开预售
- 首批备货到仓
- 门店铺货计划下发

节前7天：
- 按预售追加浮动量
- 每日跟踪到货
- 启动应急供应商

节前3天到节中：
- 每日动态补货
- 重点盯损耗和缺货
- 礼盒最后组装和配送

一句话：**用历史数据定需求，用合同锁主供，用多源防断供，用预售降风险，用冷链保品质。**
