大型超市对水果供应商的要求通常非常严格，涉及**食品安全**与**物流能力**两大核心。以下是根据行业通行标准（参考GFSI、HACCP及国内《食品安全法》等要求）梳理的具体能力清单：

### 一、食品安全能力（前置门槛）

1. **源头管控与溯源能力**
   - **基地备案**：拥有稳定的自有或签约种植基地，且基地需有病虫害防治、土壤/水质检测记录。
   - **可追溯体系**：必须实现“一果一码”或批次追溯，从田间到货架全程可查（包含采摘日期、地块、农事记录、仓储批次）。
   - **农残检测报告**：每批次需提供第三方或自有实验室检测报告（重点检测禁限用农药如克百威、毒死蜱等）。

2. **质量分级与标准执行**
   - **分选标准**：具备成熟度、糖度、外观（大小/色泽/损伤）的客观分级能力（例如按CSA或超市自定义分级）。
   - **冷链保鲜技术**：不同水果需分类预冷（如荔枝“酸洗+冰水预冷”、草莓气调包装），不能“一刀切”冷藏。

3. **包装与标签合规**
   - **包装材料**：接触水果的包装需符合食品级标准（提供ISO22000或FDA认证文件）。
   - **标签信息**：中文标签必须含产地、采收日期、保质期、储存条件、生产者信息。

4. **批次管理与应急召回**
   - **不良品隔离机制**：有独立的次品存放区，避免混入销售渠道。
   - **召回预案**：供应商必须在24小时内实现问题批次全部下架并追溯流向（需提供模拟召回演练记录）。

---

### 二、物流能力（执行保障）

1. **全程冷链控制能力**
   - **冷链设备**：运输车需具备多温区（如5-8℃、0-2℃、-0.5℃）独立控温，且实时温度监控记录可导出审核。
   - **关键节点**：采摘后“黄金4小时”内完成预冷，装车、卸货需在封闭月台作业。

2. **时效与配送网络**
   - **D+1配送能力**：同城或周边城市24小时内送达，远距离（如跨省）需具备航空/高铁专线资源。
   - **越库/周转能力**：在超市配送中心实现快速验收、分拣，避免二次运输导致损耗（损耗率通常要求控制在5%以内）。

3. **库存与订单管理**
   - **库位动态管理**：先进先出（FIFO）系统，货龄超期预警（如香蕉在18℃下超过72小时需强制促销）。
   - **缺货响应**：突发缺货时，供应商需有备用基地或替代货源（如从产地直发替代合同约定货量）。

4. **异常处理与赔偿机制**
   - **到货验收**：超市开箱查验时，若发现烂果率超5%或温度不达标，供应商需承诺无条件换货或扣款。
   - **保险覆盖**：在途损失由供应商投保的货运险赔付（通常要求每车次保额覆盖货值）。

---

### 三、建议的核心验证动作（超市采购方）

- **突击检查**：不定期到分拣中心和冷链车实地看温度记录仪和传感器数据。
- **试单验证**：让供应商先供应1-2个品种，跟踪其损耗率和客诉率（目标：客诉率低于0.3%）。
- **审计文件**：要求提供近3个月的“冷链温度曲线图”和“农残检测报告原件”。

**提示**：如果供应商无法提供单证（如产地检疫证明）、或拒绝对损耗率做出书面承诺，建议立即排除。**果蔬生鲜的底线是“快”和“准”，宁可前仓备货多一点，也不能因冷链断链导致食安问题。**
