可以的，餐饮店和供应商谈“锁价”是一种常见的成本控制方式，但需要结合市场行情和谈判策略。以下是具体建议：

1. **明确锁价范围**  
   - 选择价格波动较小的水果（如苹果、梨、柑橘类），对季节性强的水果（如荔枝、车厘子）可短暂锁价。
   - 限定锁价周期（通常1-3个月），避免供应商因长期亏损而违约。

2. **谈判筹码准备**  
   - 承诺稳定的采购量（如每月固定订单量），提升供应商合作意愿。
   - 提供灵活结算方式（如预付款或缩短账期），换取价格锁定。

3. **合同风险控制**  
   - 书面明确锁价价格、参考市场基准（如批发市场均价±5%）、浮动条款（如连续涨价超20%可协商调整）。
   - 加入“供应优先权”条款（锁价期间供应商不得断货），并约定违约金。

4. **替代方案**  
   - 若供应商拒绝锁价，可尝试“价格区间协议”（如设定上下限）。
   - 分散采购：与2-3家供应商签约，通过竞争压低成本。

5. **执行建议**  
   - 先以短期锁价（1个月）为试点，验证可行性。
   - 记录每周批发市场价格，用于后续谈判佐证。

注意：水果受天气影响大，完全锁价难以实现。建议搭配期货、协议农业（与种植基地合作）等工具，构建10%-20%的成本缓冲。
