为茶饮店或甜品店采购香蕉时，熟度的控制直接关系到出品口感、成本和损耗。以下是分阶段、可操作的控制建议：

### 一、根据用途明确“目标熟度”
不同产品对香蕉的要求差异很大：
- **做茶饮（打果汁/奶昔/香蕉泥）**：需要**全熟甚至偏熟**（表皮出现黑色斑点，但果肉不软烂）。此时甜度高、香气浓郁，打成泥后顺滑。
- **做切片装饰（如放在蛋糕、酸奶杯中）**：需要**八成至九成熟**（表皮金黄，果肉微软但不软塌），这样切片不易碎，且能保持形状。
- **做烤香蕉、果肉夹心**：可以稍偏生（七成熟，果肉略脆），烤制后不易过度软烂。

### 二、采购时的“三看一捏”判断法
1. **看颜色**：
   - 全绿或青绿色：完全未熟，需存放至少3-5天。
   - 黄中带绿（绿尾）：约七成熟（适合做需要形状类的甜品）。
   - 整体金黄、无黑斑：约八成熟。
   - 金黄并出现棕色或黑色斑点：完全熟化，适合打浆。
   - 出现大片黑斑、果柄发黑：过熟，可能内部发酵，不建议采购。

2. **捏硬度**：
   - 轻捏果身，如果**较硬、按不动**：偏生。
   - **微软，按下去可回弹**：最适合直接食用或切片。
   - **软塌无弹性、易裂**：过熟，只适合立即打浆或做烘焙用途。

3. **看果柄与果尖**：
   - 果柄鲜绿，说明采摘时间短，耐储存。
   - 果柄发黑或干燥，说明存放已久。

4. **闻气味**：熟香蕉有浓郁果香；若有酒味或酸味，说明已经发酵变质。

### 三、建立“梯次采购”策略（重点）
茶饮店每天消耗量不稳定，建议分两批：
- **当日要用的**：采购完全成熟（带黑点）的香蕉。
- **未来2-3天要用的**：采购七八成熟（黄中带绿）的香蕉，放入库房通风处自然成熟，这样可以避免一次性成熟过多导致损耗。

### 四、到店后的储存与催熟
- **避免冷藏未熟果**：香蕉在低于13℃会停止成熟并变黑，切忌将青香蕉直接放冷柜。
- **控制乙烯浓度**：未熟香蕉可放在密闭纸箱中催熟；若要减缓成熟，可将已熟香蕉放在通风处或用保鲜膜包裹果柄。
- **明确分区存放**：当日使用区（常温）、备用成熟区（阴凉通风）、报废区，建议用标签纸写明到货日期和熟度等级。

### 五、实操细节（避免经验主义）
- 在订货单中注明“供应成熟度要求”（比如写“到货时可带少量黑点，果肉微软”），要求供货商分批发货。
- 建议每周做一次损耗统计：**记录购买量、报废量、使用天数**，如果报废率超过5%，说明熟度控制偏松；如果经常断货或使用未熟果，说明控制偏紧。
- 果肉颜色呈浅白色、口感发涩，即为明显“青熟”，不能用于任何饮品，只能退货。

### 六、特殊情况处理
- **突然接大单需要大量香蕉浆**：可要求供应商提前一天冷链送货，并在当天使用前4小时将香蕉去果柄后放入40℃温水浸泡10分钟（不剥皮），可促使内部快速软化成熟。
- **如果有剩余熟香蕉**：剥皮后切成段，装袋抽真空冷冻，可保存1个月；解冻后用于打浆，但口感略水，不建议用于装饰类产品。

**总结控制原则**：宁买略生不买过熟，分两批梯次采购，到店即按用途分级贴标签。如果连续三天报废率低于3%，说明你的采购熟度已控制得很理想。
