采购香蕉用于茶饮店制作饮品或甜品时，控制熟度是关键。以下是具体建议：

1. **明确用途对应熟度**：
   - **饮品（如奶昔、冰沙、香蕉拿铁）**：适合7-8分熟的香蕉（表皮黄色带少量绿点，轻轻按压稍硬，果肉质地紧实但已变甜）。这种香蕉易打碎且不会过度氧化发黑。
   - **甜品（如香蕉蛋糕、布丁、烤香蕉）**：适合9分熟以上（表皮出现大量斑点或局部变黑，果肉软糯，甜度最高）。这种香蕉甜度足，能减少额外糖分添加。

2. **采购时的挑选标准**：
   - **颜色**：选择黄色均匀、略带青色或仅少量斑点的香蕉（避免全绿或全黑）。
   - **触感**：轻捏香蕉中部，手感**紧实有弹性而非软塌**。如果香蕉两端硬、中间软，可能内部已过熟。
   - **果柄**：检查果柄是否完好无霉菌（霉斑会导致整串快速腐烂）。

3. **批量采购策略**：
   - **分熟度混搭**：采购20%全绿（需催熟备用）、60%半黄（1-2天后可用）、20%已有斑点（当天使用）。例如：周一到货时，将绿香蕉放在室温下备用，黄香蕉冷藏（抑制继续熟化）。
   - **避坑提醒**：不要采购表面突然有深色软烂区、散发出酒精味或明显酸气的香蕉（已经过熟发酵）。

4. **到货后快速处理**：
   - 到货后立即拆箱（密闭纸箱会加速熟化），散放于阴凉通风处。
   - 若2天内不用完，将香蕉**连皮**冷藏（冷藏会抑制进一步熟化但不会中断甜度变化，冷藏后表皮会变黑，但内部品质影响较小）。

5. **记录与反馈**：
   - 每天检查库存香蕉状态，记录不同熟度香蕉的可用天数。
   - 与供应商沟通好“到货时理想熟度标准”，便于统一采购。

注意：香蕉熟化是不可逆过程，过熟会导致饮品发酸、甜品出水。建议用量大的门店留出少量备用**绿香蕉**，搭配催熟处理（和苹果一起放入纸袋），以保证供应弹性。
