这四个维度不是并列关系，优先级要按**经营目标**来排。对超市卖菠萝来说，核心不是“哪个最重要”，而是**先保损耗可控，再谈甜度和外观，最后用大小做分级**。

更可执行的判断顺序是：

1. **切果损耗优先关注**
   - 菠萝是典型“毛重进货、净果出货”的商品，冠芽、皮、眼、芯都算损耗。
   - 如果损耗失控，甜度再高、外观再好也可能不赚钱。
   - 重点看：去皮后净重率、切果出成率、坏果率、当天未售完折价/报损比例。
   - 超市如果做鲜切，损耗直接决定毛利；如果整果卖，也要看压伤、黑心、过熟导致的报损。

2. **甜度决定复购**
   - 菠萝不像苹果，顾客对“酸”很敏感。甜度不稳定会直接导致复购下降。
   - 但超市很难逐个测糖，实操上应看：品种、产地、季节、成熟度、到货批次。
   - 建议按批次抽检，而不是只看单个果。甜度达标后再放量陈列。
   - 如果做试吃，甜度就是转化率的关键。

3. **外观决定动销和溢价**
   - 外观影响顾客第一眼是否拿起来：果形端正、冠芽新鲜、果皮黄绿适中、无黑斑软塌。
   - 但外观不能压过损耗和甜度。外观好但切开黑心，反而增加投诉。
   - 外观适合做分级：精品果、普通果、鲜切原料果分开定价和陈列。

4. **大小决定分级和定价**
   - 大小本身不等于好卖。大果可能单价高、家庭一次吃不完；小果可能出成率低。
   - 更合理的是按大小分级：
     - 大果：礼盒、整果精品、餐饮渠道
     - 中果：日常家庭主销
     - 小果/次果：鲜切、果汁、促销
   - 如果大小差异导致切果损耗差异大，就要把大小纳入损耗核算，而不是单独看“越大越好”。

**一句话结论：**
超市卖菠萝，先看**切果损耗和净重率**，这是利润底线；再看**甜度**，这是复购底线；然后用**外观**做陈列和分级；最后用**大小**做定价和渠道分配。四个都重要，但顺序不能反。
