这是一个非常实际的问题。水果店卖菠萝，**没有绝对的“标准答案”，只有“最优解”**，关键取决于你的**店铺定位、客流类型、损耗控制能力和人力成本**。

以下是针对不同情况的详细分析和实操建议：

### 1. 如果你是小店/社区店（针对懒人家庭、宝妈）
**推荐：以整果为主，但提供免费去皮服务（或低价去皮）。**

- **理由**：
  - 整果毛利高（菠萝皮重，果肉占比约60-70%，去皮后单价必须提很高才能保利润，但顾客会觉得贵）。
  - 去皮是个技术活，容易切坏或切出不规整的果肉，损耗大。
  - 这类顾客通常买菜顺路，更喜欢自己挑（能看新鲜度）。
- **做法**：
  - 主推整果（标价清晰）。
  - 收银台旁放一个“免费去皮”的温馨提示，店员顺手帮切（用去眼刀快速处理）。
  - 如果人手不够，可以收取1-2元加工费，也能拦住不诚心买的顾客。

### 2. 如果你在写字楼、地铁口、商业街（针对上班族、游客）
**推荐：一分为二，并配“去皮净果”和“去皮切块”双版本。**

- **理由**：
  - 这类顾客赶时间，没时间削皮，对价格不敏感，但对“方便”极致敏感。
  - 去皮后的菠萝容易氧化，但只要用餐盒+冰袋保鲜，价格可以卖得更高（比如整果6元/斤，去皮净果可以卖12-15元/斤）。
- **做法**：
  - **整果**：摆少量，用于给顾客对比“原生态”价格（制造心理锚点）。
  - **去皮净果**（带皮去眼切好，裸装或盒装）：是主力，标价醒目如“已去眼，即食”。
  - 提供两种规格：半个（带根茎，方便拿），或去心切块（竹签插着，适合边走边吃）。

### 3. 关键细节（无论哪种模式，必须做好）
- **去皮产品的“卖相”必须完美**：
  - 菠萝眼必须去得干干净净（用V形槽刀），切面必须光滑无黑点。
  - 如果去眼去得不好，顾客会认为“还不如自己削”，口碑直接崩。
- **新鲜度标识**：去皮菠萝不能放久（超过4小时会发酸、变色），建议贴“现削/今日本”。如果下午4点后还有一大盆，果断打折或送试吃。
- **试吃引流**：切一小块（带皮头），插牙签放在整果旁。让顾客尝，尝完自然买。

### 4. 避坑指南（特别容易翻车的点）
- **不要只卖去皮果**：顾客一旦发现你家的整果比较缩水（比如有虫眼或内部黑心），会永久失去信任。去皮果看不出内部问题，所以进整货时必须抽检。
- **不要全天大量预切**：上午切好的，下午卖不掉会严重发白、流汁。建议“切多少卖多少”，或者顾客挑选后，**看着店员当场切**，既保证新鲜又增加信任。

---

**总结一句话：**
**如果你的店在社区，卖整果为主+免费帮切（引流）；如果在商圈或主食街，卖“去皮净果”为主+整果为辅（提利润）。**

如果你能告诉我店铺的具体位置（社区型/商圈型）和主要客户群，我可以给你更精准的定价和备货量建议。
