在超市和水果供应商谈账期时，**30天到45天是比较常见的区间**，但具体天数受多种因素影响，没有统一标准。

以下是具体的行业参考和谈判建议：

**1. 行业常见账期范围：**
- **小型社区超市/便利店**：通常较短，**7-15天**（因为水果易损耗，供应商更愿意快速回款）。
- **中型超市（如区域性连锁）**：常见为**30天**左右。
- **大型商超（如大润发、永辉等系统）**：通常在**45-60天**，部分甚至可达90天（取决于进货规模和供应商实力）。
- **精品超市/高端水果店**：因毛利较高但销量较稳定，一般**15-30天**。

**2. 影响账期长短的关键因素：**
- **水果品类**：叶菜类、草莓等易腐品，账期极短（7天）；苹果、柑橘、香蕉等耐储存品类，账期可拉长（30-45天）。
- **供应商规模**：一级供应商（产地直供）通常要求账期短或现结；批发市场二三级供应商更愿意接受较长账期。
- **结算方式**：月结（如每月25日对账，次月10日付款）是主流；也有周结（针对高频补货）。
- **合作历史**：首次合作通常**15-30天**试水，稳定合作后可放宽至45天。

**3. 谈判建议（重点）：**
- **优先谈“实销实结”**：即按实际售出部分结算，未售出可以退货，这对超市最有利，账期可接受较长（45天）。
- **固定对账日**：要求在合同中明确“每月X日对账，次月X日前打款”，防止口头约定出纠纷。
- **设置阶梯账期**：例如采购量<5万/月，账期30天；>5万/月，账期45天，以此激励供应商多铺货。
- **警惕违约风险**：若你的门店现金流一般，**不要轻易答应60天以上**，因为水果供应商利润薄，可能为催款停止供货，反而影响生意。

**总结建议**：如果你是中小型超市，初次谈判建议**30天**为主，**最长不超过45天**。若供应商坚决要求现结，可以适当提高进货价1%-2%作为补偿，换取更安全的现金流。
