小商家采购水果时，现金结算和月结账期各有以下风险：

- **现金结算风险**：  
  1. **资金压力**：立即支付现金可能导致短期资金周转紧张，影响其他应急开支。  
  2. **账目难追溯**：无书面记录或凭证时，若发生纠纷（如缺斤少两、质量问题），可能难以举证维权。  
  3. **错失账期优惠**：若供应商提供月结折扣，放弃账期可能丧失价格优惠机会。  

- **月结账期风险**：  
  1. **信用风险**：供应商可能延迟交货、降低水果品质，或因自身经营问题要求提前付款。  
  2. **积累债务**：采购量若未控制，月结可能人为扩大购买，导致债务累积或现金流断裂。  
  3. **纠纷复杂化**：长期合作中，若某一批次水果有问题，未付清款项或已混合使用，责任划分和赔偿可能更耗时。

### 建议应对策略：
- **现金结算**：先小额试合作，确保固定供应商；保留收据或转账记录；必要时要求送货单签字。  
- **月结账期**：签订书面合同明确账期、违约金、质量标准；定期核账、逐笔记录；设置采购上限，避免超预算。  
- **混合模式**：对稳定供应商采用“部分现金+月结”，或对少量试销品用现金，长期主供应商用月结。
