目前没有可核验的公开信息能确认佳农是否在售红富士苹果，也无法直接比较佳农和鑫荣懋的红富士性价比。下面给你可执行的判断方法：

**1. 佳农是否有红富士**
- 佳农以香蕉、菠萝等进口水果见长，苹果品类相对不是其最核心标签。
- 是否卖红富士，取决于具体渠道和档期：同一品牌在不同商超、电商、批发渠道的SKU会不同。
- 判断方法：看包装箱/标签上的品牌、品种名、产地、规格（果径、净重、等级），不要只看“佳农”两个字。

**2. 和鑫荣懋比性价比，关键看这几点**
- **品种与产地**：红富士常见产地有山东烟台、陕西洛川、甘肃静宁、新疆阿克苏等，产地和海拔会影响口感与价格。
- **规格等级**：果径80#、85#、90#，以及是否“一级果/精品果”，价差很大。
- **新鲜度**：采摘期、冷库时间、到店时间。苹果越新鲜通常脆度和风味越好。
- **损耗与售后**：坏果率、是否包赔、配送是否磕碰。
- **实际到手价**：按“元/斤”或“元/个”算，而不是只看整箱标价。

**3. 更实用的选购建议**
- 如果同一渠道同时有佳农和鑫荣懋红富士：
  - 优先选**产地明确、果径更大、等级更高、生产日期更近**的那款。
  - 算单斤价格，结合坏果包赔政策。
- 如果佳农没有明确红富士SKU，就不要强行比较品牌，直接按**产地+规格+新鲜度+价格**选。
- 鑫荣懋在苹果供应链上通常更常见、品类更全；佳农在部分进口水果上更强。但这不代表具体某一箱红富士一定谁更好。

**结论**：无法确认佳农一定有红富士，也不能笼统说佳农和鑫荣懋谁性价比更高。你要买的话，把具体两款的**品种、产地、果径、等级、净重、价格、售后**发我，我可以帮你直接算并判断哪款更划算。
