对便利店卖菠萝切块来说，**优先级通常是：配送/补货频次 ≥ 包装 ≥ 保质期标注**。但三者不是三选一，而是分工不同：

1. **配送/补货频次最关键**
   - 菠萝切块属于**短保、易出水、易发酵**的鲜切水果。
   - 卖不动时，哪怕包装和保质期写得再好，也会在货架上变味。
   - 关键是：**小批量、多频次补货**，按门店销量动态调整，而不是一次送很多。

2. **包装是第二关键**
   - 包装影响汁液渗漏、氧化、串味、微生物污染。
   - 要关注：密封性、是否冷藏陈列、是否防压、是否方便顾客即食。
   - 如果包装差，切块很快出水、发软、变色，顾客不会复购。

3. **保质期标注是合规底线，但不是经营核心**
   - 必须标，且要符合当地对现制现售/鲜切水果的标签要求。
   - 但鲜切菠萝的“实际可售时间”往往远短于标签保质期。
   - 更该管的是：**制作时间、冷藏温度、陈列时长、报废规则**。

**实操判断：**
- 如果门店销量不稳定：先改**补货频次**，宁可少送多次。
- 如果经常出水、漏汁、变色：先改**包装和冷藏陈列**。
- 如果被投诉或检查：先确保**保质期/制作时间标签合规**。

一句话：**配送频次决定会不会压货变质，包装决定卖相和口感，保质期决定合规底线。便利店经营中，先把频次和包装管住，保质期才有意义。**
