便利店受限于冷链、陈列面和客流，水果采购的核心策略是**“小批量、高频次、以销定采”**，不追求全，只追求快。

以下是针对小面积门店的具体操作建议：

### 一、品类控制：只做“精品高频”款
不适合做整箱囤货，更不适合做太多SKU。

| 原则 | 具体做法 |
| :--- | :--- |
| **SKU数量** | 稳定控制在 **8-12个** 单品（20平米内建议10个以内）。 |
| **定位** | 定位为**“即时消费”**，而非“家庭囤货”。主打**洗好即食、小包装**。 |
| **选品优先级** | 1. **硬通货**：香蕉、苹果、梨（损耗低，走量快）<br>2. **高毛利网红**：蓝莓、阳光玫瑰、进口西梅（小盒装）<br>3. **应季单品**：每逢时令主推**1-2个**爆款（如夏天的西瓜、冬天的草莓），其余应季水果少量进货。 |
| **坚决不做** | 榴莲、整个大西瓜、菠萝蜜等大体积或需要现切的（除非有切片服务），以及南方极难保存的稀有水果（如杨梅、荔枝）在非镇店时期不做。 |

### 二、损耗控制：供应链与陈列双重管理

**1. 采购端（源头控损）**

- **每日进货，拒绝囤货**：宁可断货，也不隔夜。根据前一日销售数据+天气情况，向供应商报**预估量**。
- **采购标准前置**：要求供应商只送**7-8成熟**的果子（到店后1-2天正好熟透）。太生的顾客不买，太熟的损耗猛增。
- **小包装规格**：进价允许的情况下，要求供应商提供**小包装**（如3个装苹果、1串装提子），避免因大包装被迫散卖导致腐烂。

**2. 门店端（陈列与处理）**

- **变色即处理**：香蕉出现黑点（但未烂）立刻打折；苹果有磕碰立刻做成果切（和拼盘一起卖）。
- **“先进先出”铁律**：新货放后面，旧货放前面。
- **靠近收银台**：水果不是主食，放在收银台附近或门口**黄金通道**，利用冲动消费提高周转率（周转越快损耗越低）。
- **控制“试吃”损耗**：准备小份试吃盒，试吃品损耗计入营销成本，但要控制每日总量（如每类每日试吃不超过1份）。

**3. 数字化（看数据定生死）**

- 如果是连锁便利店，看**动销率**：若某单品连续3天动销率低于50%，立刻下架，**不要等卖完**，剩余货品全部特价清仓。
- **打折阶梯**：保质期剩余50%时，打8折；剩余30%时，打5折；剩余10%时，做成切盘或榨汁。

### 三、应对季节性风险的特别提示
- **暴雨天/台风天**：坚决**减少50%进货量**，因为外卖客流下降，水果极容易滞销。
- **节假日**：节假日前1天可适当增加30%的“礼盒装”或大果（如平安夜苹果、春节车厘子），但**节后第一天**绝不进高价货。

### 四、降损的备选方案（如规模过小）
如果面积实在太小（低于15平米）且无冷链：
1.  **代销模式**：与本地果切店或大型超市合作，每日只拿少量散装散果，卖不完当日退换（需谈好结算折扣）。
2.  **预包装模式**：直接采购“预包装鲜切水果”或“净菜水果拼”，SKU控制在5个以内，由供应商承担陈列期损耗。

**总结一句话：小门店卖水果，拼的不是货全，而是“卖得够快”。把“买什么”的主动权让给顾客，把“卖什么”的选择权交给大数据（动销数据），损耗自然就降下来了。**
