都乐和鑫荣懋的到货损耗率没有公开统一数据，实际会随批次、季节、产地、运输距离、验收标准变化。直接给一个“固定损耗率”反而容易误导采购决策。

可以这样判断和操作：

1. **让供应商提供近3个月到货验收数据**
   - 要求按单品、规格、批次给出：到货总箱数/件数、验收合格数、扣重/报废数、损耗率。
   - 重点看是否包含：烂心、黑心、水渍、压伤、成熟度不符、规格偏小。

2. **自己做到货抽检，建立可比口径**
   - 每批到货抽检固定比例，比如10%或至少5箱。
   - 记录：
     - 到货总重
     - 可立即使用重量
     - 需催熟可用重量
     - 直接报废重量
     - 规格合格率
   - 损耗率建议按：
     - 到货损耗率 = 报废重量 ÷ 到货总重
     - 可用损耗率 = 报废 + 不可用于目标产品的重量 ÷ 到货总重

3. **茶饮原料用菠萝，关键不是只比品牌，而是比规格和成熟度**
   - 都乐、鑫荣懋都有不同等级和渠道货。
   - 要明确：
     - 品种：如金钻凤梨、MD2、本地菠萝等
     - 单果重量范围
     - 成熟度：几成熟到货
     - 是否去皮/切块/冷冻/糖水罐头
     - 包装：箱规、净重、果数
   - 如果用于门店现切或中央厨房，规格稳定性比品牌本身更重要。

4. **建议合同里写清楚验收和损耗责任**
   - 到货温度、成熟度、糖度、单果重、箱规、破损率上限。
   - 超出约定损耗的处理：扣款、补货、换货、退货。
   - 连续批次超标可触发降级或更换供应商。

5. **实操建议**
   - 先各拿2—3批做平行测试，同一验收标准下比较。
   - 不要只问“损耗率多少”，要问“按什么口径统计”。
   - 如果对方只给一个笼统数字，比如3%、5%，但没有分母和验收标准，参考价值很低。

如果你要的是采购谈判用的验收表，我可以给你一份“菠萝到货验收与损耗统计表”模板，直接拿去让都乐和鑫荣懋按同一口径报价和承诺。
