大型超市对水果供应商的要求，通常高于普通批发市场或农贸市场。核心体现在两块：食品安全合规能力和冷链物流交付能力。下面按可执行、可核验的维度列出。

## 一、食品安全能力

这是准入门槛，缺一项通常就无法进场。

**1. 资质证照（基础门槛）**
- 营业执照、食品经营许可证（或食品生产许可证，视加工环节而定）
- 若涉及进口水果：海关报关资质、入境货物检验检疫证明
- 种植端：种植基地备案、良好农业规范认证等

**2. 检测与追溯能力**
- 每批次农残检测报告，最好有第三方检测机构出具的报告
- 能提供产地证明、批次码，实现从门店到田间的正向/反向追溯
- 对高风险品类（如草莓、杨梅、叶菜类）有加密检测或专项管控
- 有快检室或稳定的第三方检测合作，能覆盖超市抽检频次

**3. 质量分级与验收标准**
- 能按超市要求做规格分级（大小、糖度、外观、成熟度）
- 有明确的验收标准文件，配合超市做收货抽检
- 对不合格品的处理、退换、召回有书面流程

**4. 管理体系**
- 建立食品安全管理制度、人员健康证、仓储虫害控制
- 有条件做体系认证会加分，但不是所有超市都强制

**5. 包装与标识**
- 符合食品接触材料要求，标识包含品名、产地、批次、日期等
- 预包装或贴标需符合超市和法规要求

## 二、物流与冷链能力

水果是典型易腐品，物流能力直接决定损耗率和到店品质。

**1. 冷链硬件**
- 产地预冷能力（采收后快速降温）
- 冷藏/保鲜运输车辆，能全程控温并记录温度
- 冷库或保鲜库，具备分品类温区管理

**2. 温控与时效**
- 全程温度记录可追溯，能提供冷链温度曲线
- 明确从产地到门店的时效承诺，尤其是短保品类
- 对温度敏感的品类（如浆果、热带水果）有专门方案

**3. 仓储与分拣**
- 具备分拣、打包、贴标能力，能按门店订单做配送
- 先进先出管理，减少积压和过期损耗

**4. 配送与履约**
- 能覆盖超市要求的配送频次（日配/隔日配）和门店范围
- 有应急补货、临时加单的处理能力
- 配送过程有防挤压、防日晒、防冻的包装方案

**5. 损耗与异常处理**
- 有明确的损耗率承诺或赔付机制
- 对到店不合格、途中腐损有快速响应和补货流程

## 三、常被额外要求的加分项

- 规模化、稳定供货能力（多产地、多季节调配）
- 自有或深度合作的种植基地
- 数字化系统：订单、库存、追溯、温度数据可对接超市系统
- 可持续/绿色包装、社会责任审核（部分大型连锁会要求）

## 快速自检清单

如果你要判断一个供应商是否达标，可以直接问这几项：
1. 食品经营许可证和最近一批次农残检测报告能否提供？
2. 能否做到批次追溯，出问题多久能定位到产地？
3. 冷链车和冷库温区如何管理，温度记录能否导出？
4. 到店损耗率和异常补货承诺是多少？
5. 配送频次、覆盖门店、应急响应机制是什么？

能满足以上大部分，基本具备进入大型超市供应链的条件；若缺冷链或追溯，通常会被直接淘汰。
