要核实水果供应商的“全国配送”，不能只听口头承诺，建议按下面几步做，重点看“实际能送到哪里、多久送到、坏果谁赔、冷链是否真到位”。

1. **要求提供可验证的配送范围表**
   - 让对方给出：常配省份、城市、偏远地区是否覆盖、哪些地区不配。
   - 不要只看“全国”两个字，要问：
     - 新疆、西藏、内蒙古、青海、甘肃、宁夏、海南、东北偏远县市是否送？
     - 乡镇、村组能不能到？
     - 港澳台是否排除？
   - 最好让对方提供后台截图、配送区域配置截图或系统报价单。

2. **做小批量试单，不要一开始大额下单**
   - 选 3—5 个有代表性的地址：
     - 一线城市
     - 省会城市
     - 普通地级市
     - 偏远地级市/县城
     - 乡镇或偏远地区
   - 同一订单分别发往这些地址，记录：
     - 是否下单成功
     - 实际发货地
     - 物流单号
     - 到达时间
     - 是否送货上门
     - 水果到货温度、包装、破损率
   - 试单量不用大，但要覆盖真实销售区域。

3. **核对物流承运方和路由**
   - 问清楚合作快递/物流：顺丰、京东、中通、圆通、德邦、专线物流还是落地配。
   - 要物流单号，自己查轨迹，不要只看对方截图。
   - 重点看：
     - 是否从产地或区域仓发货
     - 中转几次
     - 是否经过冷链
     - 末端是否转第三方
   - 如果对方说“冷链全国”，要问冷链到哪一段，是全程冷链还是只干线冷链。

4. **确认时效和售后责任**
   - 让对方书面承诺：
     - 不同区域的发货时效
     - 到货时效
     - 坏果、压伤、腐烂的赔付标准
     - 理赔时限和流程
   - 例如：
     - 一线城市 48 小时达
     - 省会 72 小时达
     - 偏远地区 5—7 天
     - 坏果率超过 5% 怎么赔
   - 这些要写进合同或订单备注，不能只微信口头说。

5. **查供应商真实履约能力**
   - 看是否有固定分仓：产地仓、销地仓、区域仓分别在哪里。
   - 问日均发货量、峰值发货量、合作客户案例。
   - 要求提供近期真实发货记录或物流单号样本。
   - 如果是大额采购，最好实地看仓，或视频验仓。
   - 查企业工商信息、经营异常、司法风险、成立时间。

6. **用合同锁定“全国配送”的定义**
   - 在合同里写清楚：
     - 配送区域清单
     - 不配送区域
     - 时效标准
     - 冷链要求
     - 包装标准
     - 破损赔付
     - 延迟赔付
     - 不可抗力除外条款
   - 不要接受“全国配送，偏远地区除外”这种模糊表述，要附具体区域表。

7. **判断供应商是否靠谱的简单信号**
   - 靠谱的：能马上给出区域表、物流方案、试单支持、售后标准。
   - 不靠谱的：只说“都能送”，但不愿试单、不愿写合同、不愿给物流单号、偏远地区一问就含糊。

**最有效的核实方式：**
先让对方书面确认配送区域和时效，再用 3—5 个真实地址小批量试单，自己查物流轨迹，最后把结果写进合同。这样基本能判断它是不是真的具备全国配送能力，而不是只会接单转包。
