在企业食堂采购水果时，**食品安全**是第一优先级，**价格**和**配送准时**是重要的保障性因素，但绝不能以牺牲安全为代价。

具体建议如下：

1. **食品安全（最高优先级）**  
   - 水果是直接入口的食物，涉及农残、腐烂变质、致病菌等问题。采购时必须核查供应商的**营业执照、食品经营许可证**，要求提供**进货查验记录**和**农残检测报告**（可要求每周或每批提供）。  
   - 验收时需**逐箱开箱检查**，重点看有无磕碰、霉斑、异味。腐烂水果不仅不能食用，还会污染其他水果。  
   - 建议选择有固定基地或一级批发市场资质齐全的供货商，避免来源不明的散户。

2. **配送准时（次优先级）**  
   - 食堂有固定的开餐时间，水果配送延迟会影响出餐。但配送准时是可以协调的（如提前一天订货、设置备选供应商），而食品安全问题一旦发生通常是**不可逆的**。  
   - 合同中应明确**迟到违约责任**（如扣款条款），同时要求配送车辆具备冷链或防压保护措施。

3. **价格（长期可控性）**  
   - 价格波动可接受，但前提是**同品质比价**。过低的价格往往意味着采购的是次级品、库存果或来历不明的货源，风险极高。  
   - 建议建立**月度比价机制**，以当地批发市场均价为基准，允许合理浮动，但需在合同中锁定**质量标准**。

**执行建议：**  
- 短期：优先突击检查核心供应商的资质和现场，不合格立即更换。  
- 中期：签订合同时明确“安全责任条款”，约定因食品问题导致事故的赔偿标准。  
- 长期：建立“安全→配送→价格”的评分体系，定期评估供应商，一旦安全评分下降直接淘汰。

核心原则：**先确保吃进去是安全的，再谈效率，最后谈成本。** 如果供应商连食品安全都做不到，再便宜、再准时也不用考虑。
