便利店卖菠萝切块，核心要把**保质期**放在第一位，同时兼顾**包装**和**配送频次**，三者不是并列关系，而是有明确优先级：

1. **保质期最关键**
   - 菠萝切块属于即食鲜切水果，微生物风险高，通常冷藏条件下也只有**当天到次日**的短保质期。
   - 必须先定清楚：切配时间、冷藏温度、售卖时限、到点下架规则。
   - 如果保质期管理失控，包装再好、配送再勤也会出食品安全问题。

2. **包装是第二重点**
   - 包装直接决定是否容易汁液外漏、氧化变味、交叉污染。
   - 建议用**食品级密封盒或封膜托盘**，冷藏展示，避免敞口摆放。
   - 包装上要能标清切配时间/保质期，方便店员和顾客判断。

3. **配送频次是保障条件，不是第一决定因素**
   - 如果门店自己切配，配送频次主要影响原料菠萝的新鲜度，不是成品切块保质期的核心。
   - 如果是中央厨房配送切好的成品，那么配送频次就要配合短保期：**高频、小批量、冷链配送**，避免门店压货。
   - 配送频次再高，也不能替代门店的冷藏和下架管理。

**实际判断标准：**
- 先定“切配后多久必须卖完/下架”，比如当天未售完即废弃。
- 再选能密封、冷藏、标注时间的包装。
- 最后根据销量决定配送或切配频次：**卖多少、切多少、送多少**，不要一次送太多。

**一句话结论：**
保质期管理是底线，包装是保鲜和防污染手段，配送频次是配合短保期的运营方式。优先顺序应是：**保质期 > 包装 > 配送频次**。
