都乐（Dole）和鑫荣懋都是大型水果供应链企业，**通常可以提供农残检测报告**，但能否提供、报告形式、批次对应情况，需要按实际采购渠道确认。

## 简要判断

| 供应商 | 能否提供农残检测报告 | 说明 |
|---|---|---|
| 都乐（Dole） | 一般可以 | 作为国际品牌，通常有较规范的品控体系，可随货或按批次提供检测报告 |
| 鑫荣懋 | 一般可以 | 国内大型水果供应链企业，通常可提供第三方检测报告或企业自检报告 |

## 需要注意的几点

1. **不是所有渠道都能拿到**
   - 如果你是从都乐/鑫荣懋的**总仓、区域经销商、大型商超供应链**采购，通常可以索要。
   - 如果是从**二级批发市场、小型档口**拿货，对方可能只是转手销售，未必能提供对应批次的报告。

2. **报告要对应批次**
   - 农残检测报告必须和你的**采购批次、到货日期、产地**对应，否则不能作为有效验收依据。
   - 要确认报告上的：品种（菠萝）、产地、批次号/生产日期、检测项目、检测机构、报告编号。

3. **报告类型**
   - **第三方检测报告**（如SGS、华测、谱尼等）：公信力更强，适合茶饮连锁、食安审核。
   - **企业自检报告**：部分供应商提供，但审核严格时可能不够。
   - **快检报告**：只能作为参考，通常不能替代正式农残检测。

4. **采购前直接问清楚**
   建议在询价时直接问：
   - “这批菠萝能否随货提供对应批次的农残检测报告？”
   - “是第三方报告还是自检报告？”
   - “检测项目是否覆盖 GB 2763 中菠萝相关农残限量？”
   - “如果抽检不合格，退换货和赔付怎么处理？”

## 实操建议

- **如果用于茶饮店日常经营**：优先选能稳定提供批次检测报告的供应商，哪怕价格略高。
- **如果是连锁品牌或要过食安审核**：要求第三方检测报告，并保留每批到货记录。
- **如果都乐/鑫荣懋当地经销商无法提供**：可以要求其向上级申请，或换有资质的生鲜供应链服务商。
- **自己也可抽检**：对高频使用的菠萝原料，定期送第三方做农残快检或全项检测，成本可控。

**结论：都乐和鑫荣懋通常能提供，但关键不在品牌，而在你实际对接的渠道和批次。采购前务必书面确认“随货提供对应批次农残检测报告”，并写进采购合同或订单备注。**
