针对养老院或医院食堂采购水果，判断供应商的合规与稳定性，建议从以下四个方面着手：

### 一、资质与合规审查（硬指标）
1. **证照齐全**：要求供应商提供有效的《营业执照》、《食品经营许可证》（或《食品生产许可证》）、法人身份证复印件。
2. **水果专项资质**：生鲜水果属于初级农产品，需确认供应商具备与本省或本市相应的“食用农产品”销售资质。如果涉及进口水果，必须提供《入境货物检验检疫证明》。
3. **人员健康**：所有配送人员必须持有有效的健康证明。
4. **追溯能力**：要求供应商提供水果产地证明、批发市场进货单据或种植基地的合格证明，确保来源可追溯。
5. **保险保障**：询问对方是否购买了食品安全责任险或公众责任险，这是发生问题时的兜底保障。

### 二、稳定性评估（软实力）
1. **经营年限与历史**：优先选择持续经营2年以上的供应商，可查看其之前与医院、学校、养老院等集体用餐单位的合作合同或送货单。
2. **配送能力**：实地考察其仓库（冷藏库、常温库）的容量和卫生状况。确认对方是否有专门的冷链或温控运输车辆，尤其是夏季。
3. **应急预案**：询问如果某水果断货（如台风天、季节性断产），对方是否有备选基地或替代供应方案。
4. **价格波动应对**：签订合同时，明确价格调整机制（如按周或半月参考批发市场均价调整），问清楚是否接受短期价格冻结（例如合同期内上涨不超过5%）。

### 三、实际操作检验（避坑）
1. **索要样品与试送**：正式合作前，要求对方提供3-5种常见水果（如苹果、香蕉、橙子）各5斤的试送货，要求与正式配送一致。验收时重点检查：外观无腐烂、化学残留（可闻有无刺鼻药味）、成熟度均匀。
2. **随机抽检记录**：要求供应商提供最近一个月内（每种水果）的农残快检报告，最好是第三方检测机构的抽检报告（非自检报告）。
3. **观摩配送流程**：若条件允许，派食堂管理员观察一次对方的实际配送过程，包括装车、运输时长、到货时的温度管理（例如：草莓、蓝莓是否用保温箱？）。

### 四、合同与风险控制
1. **签署正式协议**：必须签订书面合同，内容涵盖：
   - 品种、等级、单价、每日/每周送货量
   - 验收标准（如按GB2763-2021国家标准）
   - 违约责任（如变质率超过3%全部拒收并罚当日货值2倍）
   - 定期结算方式（建议月结或半月结，避免预付大额押金）
2. **设立备选供应商**：始终保留1-2家符合上述要求的备选供应商，以防主供应商出现断供、涨价或质量问题时快速切换。
3. **使用平台工具**：可要求供应商接入当地“食品安全追溯平台”，或者使用微信小程序定期上传每批次的进货单据和农残报告。

### 一句话建议：
**先试后签**，试送2-3周，期间突击检查仓库和车辆，若对方能持续提供资质、单据、合格报告且烂果率≤3%，即可考虑签订长期合同。
