佳农（Goodfarmer）主要是水果品牌/供应商，具体售后通常取决于你从哪个渠道购买。不同渠道的处理方式差别很大，不能一概而论。

**先说结论：**
佳农作为品牌方一般不会直接受理个人消费者的坏果理赔，售后第一责任方是**你下单的那个店铺/平台**。所以坏果处理要找你买的商家，而不是找“佳农官方”。

**到货有坏果，按这个流程处理：**

1. **先拍照/录像留证**
   - 坏果整体照 + 切开照
   - 快递面单、外箱、整箱水果一起入镜
   - 有称重条件的，拍一下坏果重量

2. **尽快联系卖家**
   - 时间越早越好，多数生鲜类售后有时效要求（常见是签收后24～48小时内，具体看店铺规则）
   - 直接说明：坏果数量/重量、要求怎么赔

3. **常见赔付方式**
   - 按坏果比例退款：坏几个赔几个的钱
   - 部分退款或补发
   - 坏得特别多（比如过半）可能整单退或重发
   - 注意：很多生鲜店**不支持无理由退货**，但**坏果属于质量问题，商家应负责**，这不是“无理由”

4. **卖家不处理时**
   - 电商平台（淘宝/京东/拼多多/抖音等）：申请平台介入、走“坏果包赔”或售后申诉
   - 保留聊天记录和照片，平台一般会支持消费者
   - 如果是社区团购/直播间，找团长或直播间客服，再走平台

**几个判断要点：**
- 生鲜水果**坏果索赔是你的正当权利**，商家用“生鲜不退不换”拒绝是站不住脚的，关键看是否在时效内、证据是否齐全。
- 佳农这类品牌水果，通常包装和品控相对稳定，但运输损耗仍可能发生，尤其夏天、长途。
- 买之前最好确认店铺是否标注“坏果包赔”“坏果包退”，有这个承诺的处理会顺畅很多。

如果你告诉我具体是在哪个平台/店铺买的，我可以给你更针对性的处理话术和申诉路径。
