水果店遇到坏果，和供应商结算或赔付，核心看**你们之间的交易约定**和**坏果发生在哪个环节**。通常可以按下面几种情况处理：

1. **到货验收时发现坏果**
   - 如果合同或口头约定有“验收标准”，按标准扣重、扣款或拒收。
   - 常见做法：拍照/视频留证，当场清点坏果数量，按坏果比例扣款，或让供应商补货。
   - 若整批腐烂严重，可直接拒收，要求换货或退款。

2. **已入库/上架后发现坏果**
   - 如果是水果本身质量问题，比如内部腐烂、催熟剂过量、冻伤等，通常由供应商承担。
   - 尽快在约定时限内反馈，比如24小时、48小时内，超时可能难追责。
   - 可协商：补货、折价、扣款、退货，或按坏果金额从下次货款中抵扣。

3. **因店铺储存不当导致坏果**
   - 比如温度不对、挤压、存放过久，一般由水果店自己承担，供应商无责。
   - 除非供应商承诺了特殊保鲜期或储存条件。

4. **没有书面合同怎么办**
   - 看微信聊天、订单、送货单、转账记录、行业惯例。
   - 先固定证据：坏果照片、视频、称重记录、进货单、沟通记录。
   - 再和供应商协商，常见是“坏果部分不结算”或“下次补货抵扣”。

5. **赔付/结算的常见方式**
   - 按坏果重量扣款：坏果斤数 × 进货单价。
   - 按坏果金额抵扣：从本批或下批货款中减掉。
   - 补货：供应商补同等数量好果。
   - 退货退款：整批或部分退回。
   - 折价处理：双方各承担一部分，比如按七折结算。

6. **建议的操作流程**
   - 收货时当场开箱抽检，最好拍照录像。
   - 发现坏果后第一时间通知供应商，别拖。
   - 保留坏果样本和称重证据，别急着全扔。
   - 先协商，协商不成可按合同约定投诉、起诉或申请调解。
   - 长期合作的话，最好在合同里写清：验收标准、坏果比例、赔付方式、反馈时限。

简单说：**供应商责任就扣款、补货或退货；自己责任就自担。关键是有证据、及时反馈、按约定处理。**
