生鲜平台做水果一件代发，供应商需要具备的仓配能力，核心不是“能发货”，而是**能在不大量压货、不牺牲损耗和时效的前提下，稳定处理小单、多SKU、高频次订单**。建议重点看以下几类能力：

1. **产地或销地仓能力**
   - 有稳定仓库，最好靠近产地或核心销地。
   - 具备分温区存储：常温、冷藏，部分水果如荔枝、樱桃、蓝莓需冷链。
   - 能按SKU做批次管理，避免不同成熟度、不同批次混发。
   - 有催熟、分级、预冷、暂存能力更优。

2. **水果分级与预处理能力**
   - 能按规格分选：果径、重量、糖度、外观。
   - 能做简单加工：套网套、贴标、装盒、组合装。
   - 能处理坏果、次果，有稳定品控标准。
   - 对易损水果能提供防撞、防压、防潮包装方案。

3. **一件代发作业能力**
   - 支持单件拣货、打包、贴单、发货，不强制起批量。
   - 日订单处理能力要能覆盖平台峰值，比如日常几千单、大促几万单。
   - 有WMS/OMS系统，能对接平台订单，回传运单号和库存。
   - 支持多SKU混发、赠品、备注、指定快递等场景。

4. **包装与耗材能力**
   - 有水果专用包材：泡沫箱、冰袋、吸水纸、网套、气柱袋、保温袋。
   - 能根据品类和运输距离匹配包装，比如短途普通箱、长途冷链箱。
   - 包装后能通过快递或专线运输，降低破损率。

5. **快递与履约能力**
   - 有稳定合作的快递或冷链专线，能拿到较好价格和时效。
   - 支持顺丰、京东、中通、圆通等多家快递，按区域择优发货。
   - 能提供发货时效承诺，比如24小时、48小时内出库。
   - 有异常件处理能力：拦截、改址、补发、理赔。

6. **库存与订单协同能力**
   - 库存实时准确，避免超卖。
   - 支持平台端库存同步，设置安全库存。
   - 能按平台销量预测做备货，而不是临时缺货。
   - 支持退换货入库、二次销售或报损处理。

7. **品控与售后能力**
   - 有入库质检、出库抽检。
   - 能定义坏果率、损耗率、发货差错率。
   - 售后能快速判责：是产地问题、仓储问题、快递问题还是平台问题。
   - 支持坏果包赔、补发、退款等规则。

8. **数据与系统能力**
   - 能提供发货明细、库存报表、损耗报表、售后报表。
   - 系统能对接平台API，至少支持订单拉取、发货回传、库存同步。
   - 有异常预警：缺货、超时未发、快递停滞、售后率异常。

9. **冷链与时效能力**
   - 对温度敏感水果，要有预冷、冷藏、冷链运输能力。
   - 能按区域设计时效：同城次日达、省内次日达、跨省2-3天。
   - 能判断哪些水果适合一件代发，哪些必须走批量或落地配。

10. **财务与结算能力**
   - 能按单结算仓配费、包材费、快递费、耗材费。
   - 能区分平台承担和供应商承担的费用。
   - 支持月结、对账、开票。

简单判断标准：
- 如果供应商只能“整车发货、不能单件发”，不适合一件代发。
- 如果只能发常温、不能处理冷链，不适合做蓝莓、荔枝、樱桃等。
- 如果没有系统对接，只靠微信群发表格，订单量一大就容易出错。
- 如果没有品控和售后规则，坏果扯皮会很多。

建议平台优先选择：**有产地仓+销地仓、支持冷链、系统可对接、日处理单量稳定、坏果率可控、售后响应快**的供应商。可以先小范围试跑，重点看发货时效、破损率、售后率、库存准确率四个指标。
