采购菠萝时判断熟度，是控制损耗的关键。以下是几个实用方法，帮你选到“成熟但不过熟”的菠萝：

**1. 看外观颜色（最直观）**
- **青绿或黄绿相间**：适合长途运输和短期储存，采购后放1-2天即可销售。
- **金黄或黄多青少**：熟度较高，需要尽快销售，适合当天或次日售完。
- **深黄甚至泛红、微有酒味**：过熟，易烂，不建议采购（除非次日有促销清仓计划）。

**2. 摸硬度与弹性**
- 轻轻按压菠萝表皮，**微软且有弹性**（像手掌按额头的感觉）为最佳——果肉已充分糖化，但没软烂。
- **硬邦邦**：多半未熟，切开可能酸涩；
- **按压后凹陷且不回弹**：过熟或内部开始变质。

**3. 闻气味（关键指标）**
- 靠近底部（果柄端）闻：有**浓郁清甜香气**，说明熟度刚好；
- 气味很淡或几乎无味：偏生；
- 有**刺鼻酸味或酒味**：发酵过熟，不建议采购。

**4. 观察底部果眼和重量**
- 底部果眼（小黑点）排列稀疏、颜色稍深，说明糖分积累充分；
- **掂重量**：同等大小选较重者，水分足、口感脆，重量偏轻的菠萝可能内部干瘪或过熟失水。

**5. 采购批次建议（降损耗核心）**
- **不要一次性全买同一熟度**，按“3：4：3”比例采购：30%偏生（可放3-5天）、40%适中（2天内卖）、30%偏熟（当天或次日上午优先推销）。
- 若店内有切果服务，可把偏熟的菠萝**提前去皮切块**，分装保鲜或做冰镇售卖，大大降低损耗。

**小提醒**：冬季或冷库储存时，菠萝可能“外皮金黄但内部酸涩”，建议采购时试切开1-2个样品检查果肉颜色（金黄透亮最佳）和口感，避免视觉误导。

如果运输需要1-2天，建议采购“七八分熟”（表皮青黄相间、按微软），到店后再自然成熟1天，销售时机最划算。
