需要，而且这两项通常应作为**基础准入条件**写进采购要求，而不是“可选加分项”。

具体判断如下：

1. **开发票**
   - **必须支持。**
   - 企业采购要入账、报销、做成本列支，通常需要合规发票。
   - 优先确认：能否开**增值税专用发票**；发票类目是否匹配（如“水果”“食品”“礼盒”等）；能否对公收款。
   - 如果供应商只能开普票或不能开票，财务往往无法正常入账，后续风险较大。

2. **定制包装**
   - **建议必须支持，至少支持基础定制。**
   - 企业福利水果礼盒通常需要体现企业标识、节日祝福、员工关怀信息。
   - 常见定制包括：外盒LOGO、腰封、贺卡、手提袋、贴纸、祝福语等。
   - 如果供应商完全不能定制，礼盒会偏“通用商品”，不适合作为企业福利发放，尤其是有品牌展示或节日慰问需求时。

3. **采购时建议明确写进合同或询价单**
   - 是否含税、税率多少、开票类型
   - 定制起订量、定制费用、打样费、打样周期
   - 包装材质、尺寸、印刷颜色、LOGO文件格式
   - 交货时间、破损补发、售后规则
   - 水果品种、规格、净重、产地、成熟度、替换规则

4. **例外情况**
   - 如果是员工自选平台、小额分散采购，可能不强制定制包装，但**发票仍应要求支持**。
   - 如果预算极低、只做简单散装福利，定制包装可以放宽，但至少要能贴企业标签或放贺卡。

**结论：**
开发票是硬性要求，必须支持；定制包装对企业福利水果礼盒通常也是必要要求，至少应支持LOGO、贺卡或外包装基础定制。采购前把这两项作为供应商筛选门槛，能减少后续财务和发放环节的麻烦。
