社区超市找每天配送的水果供应商，建议重点看这几类条件：

1. **配送能力**
   - 是否能真正做到每天配送，而不是“隔天”或“凑单送”。
   - 配送时间是否固定，能否赶在早市/开门前到店。
   - 是否有冷链车或保温箱，尤其是夏天和做叶菜、浆果类时很关键。
   - 临时加单、补货、退换货是否响应快。

2. **货源与稳定性**
   - 是一手批发商、产地直采，还是二级、三级贩子；层级越多，价格和新鲜度越容易吃亏。
   - 常见水果是否能长期稳定供应，而不是今天有、明天没。
   - 是否有固定合作基地或批发市场档口，旺季淡季供货是否稳定。

3. **价格与结算**
   - 报价是否透明，是否随行就市，能否提前给当日或次日参考价。
   - 起送量、配送费、装卸费、损耗谁承担。
   - 结算是现结、周结还是月结，押金和账期是否合理。
   - 次品、烂果、重量不足怎么赔。

4. **品质与损耗**
   - 能否先看样品，再小批量试配。
   - 同一品种的规格、甜度、成熟度是否稳定。
   - 对磕碰、腐烂、斤两不足的处理规则是否清楚。
   - 是否允许开箱验货、当场退换。

5. **品类匹配度**
   - 是否覆盖你店里销量最大的水果，比如苹果、香蕉、梨、橙子、西瓜、葡萄等。
   - 是否能提供本地应季水果和少量精品水果。
   - 能不能按你的客群调整，比如社区店更看重性价比和家庭装。

6. **资质与合规**
   - 营业执照、食品经营相关资质是否齐全。
   - 是否有检验检疫或农残检测报告，至少能提供批次证明。
   - 开票能力是否满足你的财务需求。

7. **合作试运行**
   - 先谈 1—2 周试配送，不要一上来签长期。
   - 试运行重点看：到货时间、损耗率、退货态度、价格波动、补货速度。
   - 记录每天到货品质和损耗，再决定是否长期合作。

简单判断标准：**能每天准时送、损耗敢承担、价格透明、退换不扯皮、资质齐全**，基本就值得试。最怕的是嘴上说每天送，实际靠拼车、压货、次品混装。
