针对小水果店进货香蕉，建议按以下优先级权衡（可结合实际情况调整）：

**1. 熟度（第一优先）**  
- 香蕉是“后熟型”水果，进货时熟度直接决定损耗和销售窗口期。  
- 选7-8成熟的（果皮绿中带黄、果肉稍硬），到店后1-2天自然成熟，正好赶上销售高峰。  
- 过于生的（全绿）需催熟，耗时影响周转；过于熟的（黄斑、软烂）当天卖不完必损耗。

**2. 坏果率（直接影响利润）**  
- 香蕉在运输中易压伤、碰伤，进货时随机拆开几串检查：表皮有无黑斑、霉点，果柄是否发黑，按压果肉有无软塌腐烂。  
- 建议要求整箱开箱抽检，若坏果率超过5%，可要求换货或降价补偿。

**3. 价格（可控因素可谈判）**  
- 香蕉是薄利多销品类，价格波动大（受产地、季节影响）。  
- 进货价应对比周边2-3家批发商，但不可因低价忽略前两项——坏果多、熟度差，单价再低也是亏损。

**4. 送货速度（相对次要，但需保障时效）**  
- 小店铺适合“少量多批”进货（如每周进2-3次），避免库存积压。  
- 只需保证今天订货明天到货即可，无需追求“当日达”，除非临近节假日销量爆发。

---

**操作建议：**  
- **首次合作**：先少量试订（如1-2箱），观察熟度和损耗，再定长期供应商。  
- **到货后**：立即分拣，将熟度高的放显眼位置促销，青熟留库等待，减少店内存货周转时间。  
- **记录数据**：每次进货记录价格、批次、坏果数，3-4周后统计哪家供应商综合成本最低。

**提醒**：若你无法亲自验货，要求供应商提供“熟度等级照片+坏果赔付条款”，避免口头承诺不可控。
