通常**直接买成品果丁的“损耗率”更低**，但**不一定总成本更低**。要把“损耗”拆开看：原料损耗、人工损耗、时间损耗、品质损耗。

**1. 鲜果切配**
- 可看见的损耗：去皮、去眼、去芯、修边，菠萝实际出果率常见大约 **40%–60%**，取决于品种、成熟度和刀工。
- 隐性损耗：切多了卖不完、氧化出水、冷藏变味、员工操作不一致。
- 优点：新鲜度、风味、外观更好；边角料可做菠萝汁、果酱、烘焙馅料，能抵一部分损耗。
- 适合：主打新鲜现切、客单价较高、有稳定客流和熟练员工的店。

**2. 成品果丁**
- 可看见的损耗：基本只有解冻/沥水、破损、过期未用完。
- 隐性损耗：解冻后出水、口感偏软、风味弱于鲜果；开封后保质期短；一旦备货过量只能报废。
- 优点：出成率稳定、省人工、省后厨空间、批次标准化。
- 适合：出品稳定优先、人工紧张、销量波动大、对“现切感”要求不高的店。

**判断建议：**
- 如果只看**食材重量损耗**：成品果丁更低。
- 如果看**综合成本**：销量大且稳定、有人工切配能力时，鲜果可能更划算；销量小或波动大时，成品果丁更稳。
- 如果看**品质和品牌**：鲜果切配更好，但要用“先进先出”和少量多次切配控制报废。

**实操上更稳的做法：**
- 核心产品用鲜果切配，保证口感和卖点；
- 辅助产品、装饰、批量馅料用成品果丁，控制成本和损耗；
- 分别记录 1–2 周的“采购重量、出成重量、报废重量、人工工时”，再算真实损耗率，不要只凭感觉选。
